,playerID,yearID,stint,G,AB,R,H,Doubles,Triples,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,OBP,SLG,SalYear,teamID,lgID,salary,lnSal,debutyr,Exp,Arb,Free,POS,Catch,Infld
4591,martife01,2000,1,106,299,42,64,11,4,2,17.0,9.0,3.0,32,68.0,0.0,8.0,12.0,2.0,4.0,353.0,0.30498533724340177,0.2976588628762542,2001,TBA,AL,255000,12.449018824140563,1997,3,1,0,SS,0,1
4592,martijd02,2011,1,53,208,29,57,13,0,6,35.0,0.0,1.0,13,48.0,1.0,2.0,0.0,3.0,4.0,226.0,0.3185840707964602,0.4230769230769231,2012,HOU,NL,483000,13.087771932634709,2011,0,0,0,OF,0,0
4593,martijd02,2014,1,123,441,57,139,30,3,23,76.0,6.0,3.0,30,126.0,5.0,3.0,0.0,6.0,8.0,480.0,0.35833333333333334,0.5532879818594104,2015,DET,AL,3000000,14.914122846632385,2011,3,1,0,OF,0,0
4594,martijd02,2015,1,158,596,93,168,33,2,38,102.0,3.0,2.0,53,178.0,7.0,5.0,0.0,3.0,11.0,657.0,0.3439878234398782,0.535234899328859,2016,DET,AL,6750000,15.725053062848712,2011,4,1,0,OF,0,0
4595,martile01,2013,1,147,457,66,119,21,6,8,49.0,36.0,9.0,28,104.0,0.0,8.0,12.0,3.0,6.0,508.0,0.3125,0.3851203501094092,2014,TEX,AL,3750000,15.137266397946593,2011,2,0,0,OF,0,0
4596,martile01,2014,1,155,533,68,146,13,7,7,40.0,31.0,12.0,39,114.0,3.0,2.0,7.0,2.0,4.0,583.0,0.3246527777777778,0.36397748592870544,2015,TEX,AL,4750000,15.373655176010823,2011,3,1,0,OF,0,0
4597,martile01,2015,1,95,288,26,63,12,0,5,25.0,14.0,5.0,16,69.0,1.0,2.0,3.0,1.0,5.0,310.0,0.26384364820846906,0.3125,2016,SEA,AL,4150000,15.238618892206881,2011,4,1,0,OF,0,0
4598,martima02,1998,1,73,180,21,45,11,2,6,24.0,0.0,3.0,9,44.0,0.0,2.0,3.0,2.0,3.0,196.0,0.29015544041450775,0.43333333333333335,1999,MON,NL,225000,12.323855681186558,1996,2,0,0,OF,0,0
4599,martimi02,2011,1,88,209,25,41,5,2,3,24.0,3.0,0.0,18,35.0,0.0,0.0,5.0,2.0,2.0,234.0,0.2576419213973799,0.2822966507177033,2012,PHI,NL,486500,13.094992180608196,2011,0,0,0,3B,0,1
4600,martino01,1994,1,45,131,19,36,7,1,1,16.0,4.0,2.0,9,16.0,0.0,0.0,3.0,2.0,2.0,145.0,0.31690140845070425,0.366412213740458,1995,CHA,AL,165000,12.013700752882718,1993,1,0,0,2B,0,1
4601,martino01,1995,1,72,160,17,43,7,4,2,17.0,5.0,0.0,3,25.0,0.0,1.0,2.0,3.0,5.0,169.0,0.281437125748503,0.4,1996,CHA,AL,160000,11.982929094215963,1993,2,0,0,2B,0,1
4602,martino01,1996,1,70,140,30,49,7,0,1,14.0,10.0,2.0,6,17.0,0.0,0.0,4.0,1.0,4.0,151.0,0.3741496598639456,0.42142857142857143,1997,CHA,AL,350000,12.765688433465597,1993,3,1,0,SS,0,1
4603,martino01,1997,1,71,213,24,64,7,1,2,27.0,1.0,4.0,6,31.0,0.0,0.0,0.0,0.0,2.0,219.0,0.319634703196347,0.37089201877934275,1998,ANA,AL,425000,12.959844447906553,1993,4,1,0,SS,0,1
4604,martira03,1999,1,61,144,21,38,6,0,5,19.0,1.0,2.0,14,17.0,0.0,0.0,6.0,1.0,2.0,165.0,0.3270440251572327,0.4097222222222222,2000,SFN,NL,220000,12.301382825334498,1998,1,0,0,2B,0,1
4605,martira03,2000,1,88,189,30,57,13,2,6,25.0,3.0,2.0,15,22.0,1.0,1.0,4.0,1.0,6.0,210.0,0.35436893203883496,0.48677248677248675,2001,SFN,NL,300000,12.611537753638338,1998,2,0,0,SS,0,1
4606,martira03,2001,1,128,391,48,99,18,3,5,37.0,1.0,2.0,38,52.0,6.0,5.0,6.0,6.0,11.0,446.0,0.32272727272727275,0.35294117647058826,2002,SFN,NL,775000,13.560618308335483,1998,3,1,0,3B,0,1
4607,martira03,2002,1,72,181,26,49,10,2,4,25.0,2.0,0.0,14,26.0,2.0,4.0,0.0,1.0,1.0,200.0,0.335,0.4143646408839779,2003,CHN,NL,800000,13.592367006650065,1998,4,1,0,SS,0,1
4608,martira03,2003,1,108,293,30,83,16,1,3,34.0,0.0,1.0,24,50.0,1.0,2.0,6.0,8.0,8.0,333.0,0.3333333333333333,0.37542662116040953,2004,CHN,NL,900000,13.710150042306449,1998,5,1,0,2B,0,1
4609,martira03,2004,1,102,260,22,64,15,1,3,30.0,1.0,0.0,26,40.0,3.0,1.0,7.0,4.0,5.0,298.0,0.3127147766323024,0.34615384615384615,2005,DET,AL,1025000,13.840203170554645,1998,6,1,0,SS,0,1
4610,martira03,2006,1,82,176,20,49,7,1,2,24.0,0.0,0.0,15,20.0,1.0,1.0,2.0,0.0,9.0,194.0,0.3385416666666667,0.36363636363636365,2007,LAN,NL,800000,13.592367006650065,1998,8,0,1,2B,0,1
4611,martiru01,2006,1,121,415,65,117,26,4,10,65.0,10.0,5.0,45,57.0,8.0,4.0,1.0,3.0,17.0,468.0,0.3554603854389722,0.43614457831325304,2007,LAN,NL,387500,12.86747112777554,2006,0,0,0,C,1,0
4612,martiru01,2007,1,151,540,87,158,32,3,19,87.0,21.0,9.0,67,89.0,1.0,7.0,0.0,6.0,16.0,620.0,0.3741935483870968,0.4685185185185185,2008,LAN,NL,500000,13.122363377404328,2006,1,0,0,C,1,0
4613,martiru01,2008,1,155,553,87,155,25,0,13,69.0,18.0,6.0,90,83.0,8.0,5.0,0.0,2.0,16.0,650.0,0.38461538461538464,0.3960216998191682,2009,LAN,NL,3900000,15.176487111099874,2006,2,0,0,C,1,0
4614,martiru01,2009,1,143,505,63,126,19,0,7,53.0,11.0,6.0,69,80.0,9.0,11.0,2.0,1.0,18.0,588.0,0.3515358361774744,0.3287128712871287,2010,LAN,NL,5050000,15.434898801251542,2006,3,1,0,C,1,0
4615,martiru01,2010,1,97,331,45,82,13,0,5,26.0,6.0,2.0,48,61.0,7.0,4.0,1.0,3.0,7.0,387.0,0.3471502590673575,0.3323262839879154,2011,NYA,AL,4000000,15.201804919084164,2006,4,1,0,C,1,0
4616,martiru01,2011,1,125,417,57,99,17,0,18,65.0,8.0,2.0,50,81.0,1.0,5.0,1.0,3.0,19.0,476.0,0.32421052631578945,0.407673860911271,2012,NYA,AL,7500000,15.830413578506539,2006,5,1,0,C,1,0
4617,martiru01,2012,1,133,422,50,89,18,0,21,53.0,6.0,1.0,53,95.0,0.0,8.0,2.0,0.0,13.0,485.0,0.3105590062111801,0.4028436018957346,2013,PIT,NL,7500000,15.830413578506539,2006,6,1,0,C,1,0
4618,martiru01,2013,1,127,438,51,99,21,0,15,55.0,9.0,5.0,58,108.0,2.0,8.0,1.0,1.0,13.0,506.0,0.32673267326732675,0.3767123287671233,2014,PIT,NL,8500000,15.955576721460545,2006,7,0,1,C,1,0
4619,martiru01,2014,1,111,379,45,110,20,0,11,67.0,4.0,4.0,59,78.0,5.0,15.0,2.0,5.0,16.0,460.0,0.4017467248908297,0.43007915567282323,2015,TOR,AL,7000000,15.761420707019587,2006,8,0,1,C,1,0
4620,martiru01,2015,1,129,441,76,106,23,2,23,77.0,4.0,5.0,53,106.0,1.0,8.0,0.0,5.0,22.0,507.0,0.32938856015779094,0.4580498866213152,2016,TOR,AL,15000000,16.523560759066484,2006,9,0,1,C,1,0
4621,martisa01,1995,1,62,191,12,46,12,0,2,25.0,0.0,0.0,7,45.0,0.0,1.0,0.0,1.0,1.0,200.0,0.27,0.33507853403141363,1996,TOR,AL,165000,12.013700752882718,1995,0,0,0,C,1,0
4622,martiti02,1993,1,109,408,48,108,25,1,17,60.0,0.0,3.0,45,56.0,9.0,5.0,3.0,3.0,7.0,464.0,0.34273318872017355,0.45588235294117646,1994,SEA,AL,500000,13.122363377404328,1990,3,1,0,1B,0,0
