,batterName,Run_Value
554,"Martinez, J",75.12479174706785
80,Betts,65.72446868148202
907,Trout,62.28642998504326
980,Yelich,60.58378568514059
715,"Ramirez, J",53.113121532640584
107,Bregman,47.99192498823401
387,Harper,45.63548462070165
911,Turner,45.551059220478294
332,Goldschmidt,43.33464432001715
39,Arenado,42.74249947952892
456,Judge,41.45826825995018
510,Lindor,40.95665022211918
290,Freeman,40.53851840651564
74,Benintendi,38.332697528193336
728,Rendon,37.27161694919673
142,Castellanos,36.47249037914313
93,Bogaerts,36.236329248876615
618,Muncy,36.03206431490173
138,"Carpenter, M",35.56642535238855
523,Lowrie,33.930372350145525
868,Suarez,33.82798639182061
414,"Hicks, A",32.34126403293992
859,Story,31.914934168917835
745,Rizzo,31.710873939575386
941,Votto,31.61382694913491
531,Machado,31.485352776413386
49,"Baez, J",31.326481424560274
426,Hoskins,29.717074652294674
845,Soto,29.300028093483462
208,"Davis, K",28.7750322150108
1,Acuna Jr.,27.7171217551833
555,"Martinez, Jo",27.005183075819808
88,Blackmon,26.722389320216298
650,Ohtani,26.496611472677653
671,"Peralta, D",26.190608227810852
694,Piscotty,24.35637169016732
834,Smoak,24.202792855947088
129,Cain,24.19649641470562
721,Realmuto,24.16184777542267
158,"Chapman, M",23.92529726638534
8,Aguilar,23.34651921239959
193,Cruz,23.184667236514027
635,Nimmo,23.09034885945498
967,Winker,22.81890687421206
103,Brantley,22.35585139935068
383,Haniger,21.689339987569703
167,Choo,21.6542123143034
718,"Ramos, W",21.509201622794855
23,Altuve,21.068958933353432
219,Descalso,21.013437682913676
956,White,20.97984323515425
664,Pearce,20.916839889413495
358,Gregorius,20.825886876588797
249,Encarnacion,20.62953651646539
939,Voit,20.07811093215829
708,Profar,19.379023310701466
849,Springer,19.266185988904923
616,Moustakas,18.84772090302524
699,"Polanco, G",18.55802059249154
3,Adams,18.52368322319455
321,Gennett,18.451642806244088
163,"Chirinos, R",18.444867669996313
619,Munoz,18.363255475739397
545,Markakis,18.139062961445447
987,Zobrist,18.083340562194305
71,Bellinger,17.94097746324591
33,Andujar,17.940808164093717
550,"Marte, S",17.860100730209695
153,Cervelli,16.783361872124047
116,Bryant,16.517380614963727
425,Holt,16.358756223785416
851,Stanton,16.05517119176026
823,Simmons,15.570650068976848
353,Granderson,14.46289735633891
255,"Escobar, E",14.446917235406236
70,Bell,14.294959425028926
135,Cano,14.064277872643059
793,"Santana, C",13.847472574290244
293,Freese,13.809508284245787
26,"Anderson, B",13.649610279492627
132,Camargo,13.580969025947509
352,Grandal,13.47512681512142
817,"Shaw, T",13.324674447947048
177,Conforto,13.046929938605755
302,Gallo,12.84396015347374
362,Grossman,12.218538702132083
557,Martini,12.204649675975347
370,Gurriel,12.18846764090679
500,LeMahieu,12.1623863654146
646,O'Hearn,11.68188395280622
900,Torres,11.667617600975452
126,Cabrera,11.475160141950203
578,McNeil,11.333263335515854
409,"Herrera, O",11.24723204266411
244,Eaton,11.244822651165016
151,Cave,11.17825370506374
889,"Taylor, C",10.99902909158834
560,Mauer,10.979717974689759
665,Pederson,10.897644931188179
198,Culberson,10.860928954186985
954,Wendle,10.838867648862902
729,Renfroe,10.822297754433631
687,Pham,10.494929697255907
985,Zimmerman,10.318375228924353
913,Upton,10.171577182154673
570,McCutchen,10.012527962182983
105,Braun,9.796051141798207
600,Molina,9.628287716628241
127,"Cabrera, A",9.538133281312351
809,Segura,9.523669559360416
318,Gattis,9.451811176827116
709,Puig,9.413260684864659
134,Canha,9.357826906138836
224,"Diaz, E",9.323606296690485
401,"Hernandez, C",9.035618285887185
549,"Marte, K",9.021504519292915
805,Schwarber,8.99257890448969
608,Moran,8.892193642982846
155,"Cespedes, Y",8.885811514715913
842,Soler,8.861961769066623
340,"Gonzalez, C",8.861880216097296
0,Abreu,8.821658782945466
213,DeJong,8.801196722269536
465,"Kemp, M",8.755537671454949
44,Austin,8.718496582132714
20,Alonso,8.642588554823153
345,Goodrum,8.437787505310823
480,Kipnis,8.262535949523361
11,Albies,8.194942744000262
220,Desmond,8.150183885766255
286,"Frazier, A",8.148756768046644
620,"Murphy, D",7.85235230205313
651,Olson,7.787785698965769
588,Merrifield,7.743744035754738
700,"Polanco, J",7.69264881619109
200,Dahl,7.178587058662282
317,Garver,7.1054880196758985
858,"Stewart, D",7.065800072292478
385,"Happ, I",6.846318017268251
769,"Rosario, E",6.814513372533836
893,Tellez,6.57796726266514
361,Grichuk,6.436510783197437
648,Odor,6.407326183308466
192,Cron,6.28668612862141
73,Beltre,6.230586311154099
564,Mazara,6.1239645392554785
800,Schebler,6.079230879309819
413,Heyward,6.028056345670804
166,Choi,5.998110881804347
496,Laureano,5.979124086617215
63,Bautista,5.9013512914555895
627,Narvaez,5.7464793272157095
625,Myers,5.5691910575429535
791,Sandoval,5.535167572840834
894,Thames,5.402657015829326
128,"Cabrera, Me",5.190627600630906
647,O'Neill,5.028006671309624
373,Guzman,4.959077380250134
855,Stevenson,4.87345944610451
847,Span,4.715721147428135
374,Gyorko,4.395773594819989
701,Pollock,4.267122296995378
832,"Smith, K",4.225488754579584
522,"Lowe, B",4.17814212494286
747,"Robertson, D",4.037926971844868
661,Parra,3.936331924406092
857,"Stewart, C",3.9181651487883764
494,"Lamb, J",3.8412943454101818
202,Davidson,3.485975444881067
466,"Kemp, T",3.479412105619126
232,Donaldson,3.438317756751551
384,Hanson,3.4349535252682415
406,"Hernandez, K",3.3969502134084903
239,"Duffy, M",3.35175444054919
659,Palka,3.3386426235844247
885,Tapia,3.3260044066191274
490,La Stella,3.3198902016837475
423,Holliday,3.317302177313538
607,Morales,3.2415429324414347
580,Meadows,3.2182953151992537
371,Gurriel Jr.,3.20277515540948
42,Astudillo,3.165310977250925
57,Barreto,3.1387992381245664
72,Belt,3.1151989264780418
731,"Reyes, F",2.9669125231548317
165,Chisenhall,2.9161326406996775
969,Wisdom,2.8869285895335084
807,"Seager, C",2.8658759954075443
343,"Gonzalez, M",2.7421683199576403
372,Guyer,2.6956178483456115
521,Lorenzen,2.603833932315979
763,"Romine, Au",2.5579962446154814
705,Posey,2.5519881498047954
704,Porcello,2.4797906367783766
658,Ozuna,2.3339226829617497
602,Mondesi,2.2943104795330136
833,"Smith, M",2.2053059792191068
346,Goodwin,2.1927922233573787
962,"Williams, N",2.189239822683878
874,Suter,2.1857395254227527
236,Duda,2.1612198533850515
185,Correa,2.1239048265886766
626,Naquin,2.022151885978394
714,"Ramirez, H",1.9929388145208529
305,Gamel,1.929037969840496
575,"McGuire, R",1.9154299353775355
492,Lagares,1.7654380870803301
451,"Jones, R",1.7649715390913847
761,Romine,1.7295965867468976
750,Robles,1.7195402309953616
41,"Arroyo, C",1.6539989851697663
225,"Diaz, Y",1.6296642716749168
264,"Fernandez, Jose Mig",1.593586027421411
733,"Reyes, P",1.539912224207698
765,"Rondon, J",1.5374439147160621
248,Ellis,1.5030944105148034
37,"Arcia, F",1.4163912276317188
678,"Perez, M",1.409573659372907
518,"Lopez, Jo",1.4010648212586316
925,"Vargas, I",1.3306218499529137
830,"Smith, D",1.2714748263896407
770,"Rosario, R",1.220357872927966
609,Moreland,1.1975260358049822
493,Lamb,1.193332705015251
645,O'Brien,1.1661078370229376
503,"Lee, B",1.1135211412470818
427,Hosmer,1.0672820759454476
77,Berti,1.039655469558122
938,Vogelbach,1.036615466205673
82,Biddle,1.0291225358040585
802,Schimpf,1.0016128542790288
767,Rosario,0.99695613597306
983,Zagunis,0.9389737671206123
99,Bourjos,0.9341312407009663
390,"Harvey, M",0.8910828954838653
929,"Velazquez, A",0.8716204006575217
460,Kang,0.8551281459704826
315,Garneau,0.8354124651063105
644,Nuno III,0.8330616048325024
211,"De La Rosa, J",0.8303298713842409
497,Lavarnway,0.8093885923224992
864,Straw,0.7630191731758158
258,Farmer,0.7488020791370679
61,Bauers,0.7465753504498129
16,Allard,0.7318628254200263
898,Toles,0.7179430424337494
196,Cuevas,0.7174792055094824
184,"Cordero, F",0.6740594853065155
572,McGowin,0.6576229548568415
92,Blevins,0.65573565989672
325,Gibson,0.6392606925849146
380,Hampson,0.6216052549488269
877,"Suzuki, K",0.6148316780841154
191,"Crawford, J",0.6014822168858677
48,Bader,0.5079441394594153
508,Lin,0.5017442028383361
434,Hutchison,0.49589899792387576
36,Arcia,0.4747842473707028
937,Vincej,0.45899975754733274
819,Shipley,0.4532358695298658
759,Romero,0.4189028196569484
839,Sobotka,0.40685242949541434
964,Williamson,0.39201428778948827
470,Kepler,0.33965163202151055
921,Valencia,0.33939435543207264
438,Inciarte,0.3370454893448802
309,"Garcia, Ar",0.32900060987235724
468,Kennedy,0.2790667181164476
313,"Garcia, L",0.277612816944892
958,Wilkerson,0.2729212379308855
836,Snell,0.27025056678933274
498,Law,0.26272077385590953
