Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,season
7,Evgeni Malkin,31,PIT,C,97,5.91,3,2,6,5,8,42,56,98,16.0,,,,,,10.2,2.2,0.0,12.4,20172018
8,Blake Wheeler,31,WPG,RW,69,4.21,1,2,1,6,22,23,68,91,13.0,,,,,,7.1,2.1,0.0,9.2,20172018
9,Alex Ovechkin,32,WSH,LW,37,2.26,0,0,2,5,12,49,38,87,3.0,,,,,,9.3,1.9,0.0,11.2,20172018
10,William Karlsson,25,VEG,C,32,1.95,1,0,3,2,1,43,35,78,49.0,,,,,,8.3,3.5,0.0,11.8,20172018
11,Brad Marchand,29,BOS,LW,10,0.61,0,0,2,0,0,34,51,85,25.0,,,,,,8.4,2.5,0.0,11.0,20172018
12,Pekka Rinne,35,NSH,G,9,0.55,0,0,0,2,3,0,1,1,0.0,42.0,13.0,4.0,2.31,0.927,0.0,0.0,13.2,13.2,20172018
13,Connor Hellebuyck,24,WPG,G,5,0.3,0,0,0,1,2,0,2,2,0.0,44.0,11.0,9.0,2.36,0.924,0.0,0.0,14.0,14.0,20172018
14,Artemi Panarin,26,CBJ,LW,4,0.24,0,0,0,1,1,27,55,82,23.0,,,,,,6.8,2.6,0.0,9.4,20172018
15,Sergei Bobrovsky,29,CBJ,G,3,0.18,0,0,0,1,0,0,3,3,0.0,37.0,22.0,6.0,2.42,0.921,0.0,0.0,12.9,12.9,20172018
15,Drew Doughty,28,LAK,D,3,0.18,0,0,0,1,0,10,50,60,23.0,,,,,,4.4,7.3,0.0,11.7,20172018
17,Patrice Bergeron,32,BOS,C,1,0.06,0,0,0,0,1,30,33,63,21.0,,,,,,6.0,2.3,0.0,8.3,20172018
17,Sidney Crosby,30,PIT,C,1,0.06,0,0,0,0,1,29,60,89,0.0,,,,,,7.3,1.8,0.0,9.1,20172018
17,Victor Hedman,27,TBL,D,1,0.06,0,0,0,0,1,17,46,63,32.0,,,,,,5.7,5.2,0.0,11.0,20172018
17,Eric Staal,33,MIN,C,1,0.06,0,0,0,0,1,42,34,76,8.0,,,,,,8.0,1.8,0.0,9.8,20172018
1,Nikita Kucherov,25,TBL,RW,1677,98.07,164,3,2,2,0,41,87,128,24.0,,,,,,12.3,2.3,0.0,14.6,20182019
2,Sidney Crosby,31,PIT,C,739,43.22,3,65,33,26,11,35,65,100,18.0,,,,,,8.9,2.4,0.0,11.4,20182019
3,Connor McDavid,22,EDM,C,465,27.19,1,35,23,22,29,41,75,116,3.0,,,,,,10.8,2.1,0.0,13.0,20182019
4,Johnny Gaudreau,25,CGY,LW,442,25.85,2,23,30,31,18,36,63,99,18.0,,,,,,8.8,2.1,0.0,10.9,20182019
5,Brad Marchand,30,BOS,LW,322,18.83,0,15,32,12,21,36,64,100,15.0,,,,,,9.2,2.5,0.0,11.7,20182019
6,Nathan MacKinnon,23,COL,C,265,15.5,1,13,14,24,22,41,58,99,20.0,,,,,,9.1,2.7,0.0,11.8,20182019
7,Alex Ovechkin,33,WSH,LW,213,12.46,0,8,13,25,17,51,38,89,7.0,,,,,,9.2,1.8,0.0,11.0,20182019
8,Patrick Kane,30,CHI,RW,125,7.31,0,4,10,9,20,44,66,110,2.0,,,,,,10.2,1.6,0.0,11.8,20182019
9,Mark Giordano,35,CGY,D,66,3.86,0,2,5,7,6,17,57,74,39.0,,,,,,6.7,5.9,0.0,12.6,20182019
10,Sebastian Aho,21,CAR,C,21,1.23,0,1,2,1,1,30,53,83,25.0,,,,,,6.9,2.9,0.0,9.8,20182019
10,Jordan Binnington,25,STL,G,21,1.23,0,1,2,1,1,0,0,0,0.0,24.0,5.0,1.0,1.89,0.927,0.0,0.0,6.0,6.0,20182019
12,Mark Stone,26,TOT,RW,18,1.05,0,0,1,3,4,33,40,73,17.0,,,,,,6.3,2.4,0.0,8.7,20182019
13,Ryan O'Reilly,27,STL,C,15,0.88,0,0,2,1,2,28,49,77,22.0,,,,,,5.8,3.0,0.0,8.8,20182019
14,Steven Stamkos,28,TBL,C,12,0.7,0,1,0,1,2,45,53,98,4.0,,,,,,10.1,1.4,0.0,11.5,20182019
15,Patrice Bergeron,33,BOS,C,8,0.47,0,0,0,2,2,32,47,79,23.0,,,,,,7.7,2.3,0.0,10.1,20182019
16,Aleksander Barkov,23,FLA,C,7,0.41,0,0,0,2,1,35,61,96,-3.0,,,,,,7.9,2.1,0.0,10.0,20182019
17,Marc-Andre Fleury,34,VEG,G,7,0.41,0,0,0,1,4,0,2,2,0.0,35.0,21.0,5.0,2.51,0.913,0.0,0.0,10.3,10.3,20182019
17,John Tavares,28,TOR,C,7,0.41,0,0,0,1,4,47,41,88,19.0,,,,,,9.3,2.0,0.0,11.3,20182019
19,Ben Bishop,32,DAL,G,5,0.29,0,0,1,0,0,0,2,2,0.0,27.0,15.0,2.0,1.98,0.934,0.0,0.0,10.8,10.8,20182019
19,Brent Burns,33,SJS,D/RW,5,0.29,0,0,1,0,0,16,67,83,13.0,,,,,,7.3,4.7,0.0,12.0,20182019
21,Brayden Point,22,TBL,C,3,0.18,0,0,0,0,3,41,51,92,27.0,,,,,,9.1,2.3,0.0,11.4,20182019
22,Darcy Kuemper,28,ARI,G,1,0.06,0,0,0,0,1,0,2,2,0.0,27.0,20.0,8.0,2.33,0.925,0.0,0.0,12.0,12.0,20182019
22,Mark Scheifele,25,WPG,C,1,0.06,0,0,0,0,1,38,46,84,8.0,,,,,,7.3,2.2,0.0,9.4,20182019
22,Andrei Vasilevskiy,24,TBL,G,1,0.06,0,0,0,0,1,0,3,3,0.0,39.0,10.0,4.0,2.4,0.925,0.0,0.0,12.4,12.4,20182019
1,Leon Draisaitl,24,EDM,C,1309,77.0,91,31,26,16,4,43,67,110,-7.0,,,,,,10.9,1.8,0.0,12.8,20192020
2,Nathan MacKinnon,24,COL,C,1162,68.35,48,66,34,15,5,35,58,93,13.0,,,,,,8.9,1.9,0.0,10.8,20192020
3,Artemi Panarin,28,NYR,LW,889,52.29,24,41,54,25,17,32,63,95,36.0,,,,,,8.8,2.6,0.0,11.4,20192020
4,David Pastrnak,23,BOS,RW,369,21.71,3,12,15,43,51,48,47,95,21.0,,,,,,10.8,2.4,0.0,13.2,20192020
5,Connor McDavid,23,EDM,C,309,18.18,1,7,24,33,31,34,63,97,-6.0,,,,,,9.3,1.6,0.0,10.9,20192020
6,Connor Hellebuyck,26,WPG,G,283,16.65,3,13,15,22,21,0,2,2,0.0,31.0,21.0,5.0,2.57,0.922,0.0,0.0,12.5,12.5,20192020
7,Roman Josi,29,NSH,D,29,1.71,0,0,1,6,6,16,49,65,22.0,,,,,,6.1,4.8,0.0,10.9,20192020
8,Jack Eichel,23,BUF,C,14,0.82,0,0,0,2,8,36,42,78,5.0,,,,,,7.5,2.0,0.0,9.5,20192020
9,Brad Marchand,31,BOS,LW,12,0.71,0,0,0,3,3,28,59,87,25.0,,,,,,7.8,2.6,0.0,10.4,20192020
10,Evgeni Malkin,33,PIT,C,8,0.47,0,0,0,1,5,25,49,74,7.0,,,,,,7.0,1.5,0.0,8.5,20192020
10,Auston Matthews,22,TOR,C,8,0.47,0,0,0,1,5,47,33,80,19.0,,,,,,8.9,2.0,0.0,10.8,20192020
12,John Carlson,30,WSH,D,7,0.41,0,0,1,0,2,15,60,75,12.0,,,,,,7.2,3.5,0.0,10.7,20192020
13,Nikita Kucherov,26,TBL,RW,6,0.35,0,0,0,1,3,33,52,85,26.0,,,,,,8.3,2.1,0.0,10.5,20192020
13,Alex Ovechkin,34,WSH,LW,6,0.35,0,0,0,1,3,48,19,67,-12.0,,,,,,8.0,0.8,0.0,8.7,20192020
15,Jacob Markstrom,30,VAN,G,3,0.18,0,0,0,1,0,0,1,1,0.0,23.0,16.0,4.0,2.75,0.918,0.0,0.0,9.2,9.2,20192020
16,Elias Pettersson,21,VAN,C,3,0.18,0,0,0,0,3,27,39,66,16.0,,,,,,5.7,2.0,0.0,7.7,20192020
17,Tristan Jarry,24,PIT,G,1,0.06,0,0,0,0,1,0,0,0,0.0,20.0,12.0,1.0,2.43,0.921,0.0,0.0,6.7,6.7,20192020
17,Patrick Kane,31,CHI,RW,1,0.06,0,0,0,0,1,33,51,84,8.0,,,,,,7.7,1.9,0.0,9.6,20192020
17,J.T. Miller,26,VAN,C,1,0.06,0,0,0,0,1,27,45,72,11.0,,,,,,6.0,1.9,0.0,7.9,20192020
