,away,home,home_team,away_team,time
20171202_064553,4,1,Calgary Flames,Toronto Maple Leafs,20171202_064553
20171202_211553,2,3,Edmonton Oilers,Arizona Coyotes,20171202_211553
20171202_184556,3,0,Vegas Golden Knights,Dallas Stars,20171202_184556
20171203_021626,2,3,Boston Bruins,Tampa Bay Lightning,20171203_021626
20171203_174548,1,2,Montréal Canadiens,Ottawa Senators,20171203_174548
20171202_224536,3,2,St. Louis Blues,Anaheim Ducks,20171202_224536
20171202_014549,2,3,Colorado Avalanche,Winnipeg Jets,20171202_014549
20171203_091541,5,2,Washington Capitals,Los Angeles Kings,20171203_091541
20171204_191556,6,3,Detroit Red Wings,Montréal Canadiens,20171204_191556
20171204_224602,5,3,Nashville Predators,Vancouver Canucks,20171204_224602
20171203_214540,2,4,Minnesota Wild,Vegas Golden Knights,20171203_214540
20171203_171546,4,3,Chicago Blackhawks,Dallas Stars,20171203_171546
20171203_204541,0,3,Calgary Flames,Arizona Coyotes,20171203_204541
20171204_211603,6,4,Edmonton Oilers,Toronto Maple Leafs,20171204_211603
20171205_204545,4,0,Buffalo Sabres,Pittsburgh Penguins,20171205_204545
20171204_221541,6,5,New York Islanders,Ottawa Senators,20171204_221541
20171204_161549,1,5,New York Rangers,Carolina Hurricanes,20171204_161549
20171204_201547,2,4,Columbus Blue Jackets,Anaheim Ducks,20171204_201547
20171205_141604,2,1,Florida Panthers,San Jose Sharks,20171205_141604
20171205_111605,4,1,St. Louis Blues,Los Angeles Kings,20171205_111605
20200717_194302,4,7,Winnipeg Jets,Vegas Golden Knights,20200717_194302
20171205_141609,2,1,Colorado Avalanche,New Jersey Devils,20171205_141609
20171206_163705,3,0,Philadelphia Flyers,Boston Bruins,20171206_163705
20171205_071529,1,2,Minnesota Wild,St. Louis Blues,20171205_071529
20171206_111843,1,10,Montréal Canadiens,Detroit Red Wings,20171206_111843
20171206_112047,2,5,Tampa Bay Lightning,San Jose Sharks,20171206_112047
20171206_112316,1,5,Pittsburgh Penguins,Buffalo Sabres,20171206_112316
20171206_170702,3,4,Washington Capitals,Columbus Blue Jackets,20171206_170702
20171203_073927,1,2,Vancouver Canucks,Toronto Maple Leafs,20171203_073927
20171206_193703,2,3,Carolina Hurricanes,Florida Panthers,20171206_193703
20171206_163722,2,2,Nashville Predators,Anaheim Ducks,20171206_163722
20171206_163719,0,5,Arizona Coyotes,New Jersey Devils,20171206_163719
20171206_210714,2,2,Dallas Stars,Chicago Blackhawks,20171206_210714
20171206_163726,7,5,Calgary Flames,Edmonton Oilers,20171206_163726
20171207_223705,3,1,Chicago Blackhawks,Los Angeles Kings,20171207_223705
20171207_143706,0,5,Winnipeg Jets,Ottawa Senators,20171207_143706
20200717_194311,7,2,Colorado Avalanche,Dallas Stars,20200717_194311
20171206_213650,2,3,Vegas Golden Knights,Arizona Coyotes,20171206_213650
20171208_190704,1,4,Washington Capitals,San Jose Sharks,20171208_190704
20171208_220709,4,4,Florida Panthers,New York Islanders,20171208_220709
20171208_170707,3,5,Nashville Predators,Boston Bruins,20171208_170707
20171208_220713,5,2,Calgary Flames,Philadelphia Flyers,20171208_220713
20171209_090705,4,3,Pittsburgh Penguins,New York Rangers,20171209_090705
20171209_063702,4,1,Columbus Blue Jackets,New Jersey Devils,20171209_063702
20171208_233651,4,3,Montréal Canadiens,St. Louis Blues,20171208_233651
20171209_120707,1,5,Detroit Red Wings,Winnipeg Jets,20171209_120707
20171209_230712,2,6,Tampa Bay Lightning,New York Islanders,20171209_230712
20171209_230713,5,2,Dallas Stars,Nashville Predators,20171209_230713
20171209_033718,4,2,Colorado Avalanche,Buffalo Sabres,20171209_033718
20171207_150650,0,3,Vancouver Canucks,Carolina Hurricanes,20171207_150650
20171209_190714,3,3,Vegas Golden Knights,Anaheim Ducks,20171209_190714
20171209_210717,2,5,Los Angeles Kings,Minnesota Wild,20171209_210717
20171209_093657,1,1,Toronto Maple Leafs,Calgary Flames,20171209_093657
20171209_203659,2,6,Washington Capitals,Chicago Blackhawks,20171209_203659
20171210_173706,4,2,Edmonton Oilers,Philadelphia Flyers,20171210_173706
20171210_053733,0,3,Anaheim Ducks,Ottawa Senators,20171210_053733
20171211_213711,1,6,Boston Bruins,Arizona Coyotes,20171211_213711
20171210_230649,3,4,Pittsburgh Penguins,New York Islanders,20171210_230649
20171209_093641,3,2,Montréal Canadiens,Calgary Flames,20171209_093641
20171211_023720,2,5,Tampa Bay Lightning,Colorado Avalanche,20171211_023720
20171211_150716,4,6,Florida Panthers,Winnipeg Jets,20171211_150716
20171210_100659,0,3,St. Louis Blues,Dallas Stars,20171210_100659
20171211_160715,4,1,Vancouver Canucks,Philadelphia Flyers,20171211_160715
20171210_143658,3,4,Los Angeles Kings,Ottawa Senators,20171210_143658
20171211_140719,4,5,San Jose Sharks,Carolina Hurricanes,20171211_140719
20171212_110704,5,3,New Jersey Devils,Columbus Blue Jackets,20171212_110704
20171212_190708,2,4,Washington Capitals,New York Rangers,20171212_190708
20171212_180713,3,3,Nashville Predators,Vegas Golden Knights,20171212_180713
20171209_224643,2,3,Chicago Blackhawks,Buffalo Sabres,20171209_224643
20171212_213713,3,2,Anaheim Ducks,Minnesota Wild,20171212_213713
20171213_230700,1,3,Boston Bruins,New York Islanders,20171213_230700
20171213_230703,6,2,Montréal Canadiens,Edmonton Oilers,20171213_230703
20171213_233654,6,1,Detroit Red Wings,St. Louis Blues,20171213_233654
20171213_230705,3,4,Tampa Bay Lightning,Winnipeg Jets,20171213_230705
20171213_230708,7,3,Florida Panthers,Colorado Avalanche,20171213_230708
20171213_230710,2,5,New York Rangers,New Jersey Devils,20171213_230710
20171213_010719,4,3,Pittsburgh Penguins,Toronto Maple Leafs,20171213_010719
20171213_230714,0,1,Columbus Blue Jackets,Arizona Coyotes,20171213_230714
20171213_230716,5,3,Dallas Stars,Vegas Golden Knights,20171213_230716
20171213_230719,2,4,Calgary Flames,Vancouver Canucks,20171213_230719
20171213_230718,0,5,San Jose Sharks,Ottawa Senators,20171213_230718
20171213_230721,2,3,Los Angeles Kings,Carolina Hurricanes,20171213_230721
20171214_003705,0,1,Toronto Maple Leafs,Edmonton Oilers,20171214_003705
20171214_043703,1,3,Chicago Blackhawks,Arizona Coyotes,20171214_043703
20200717_194319,2,3,St. Louis Blues,Buffalo Sabres,20200717_194319
20171214_190711,4,3,San Jose Sharks,Minnesota Wild,20171214_190711
20171215_050711,1,3,New York Islanders,Washington Capitals,20171215_050711
20171213_233639,1,1,New York Rangers,Dallas Stars,20171213_233639
20171213_230642,2,1,Pittsburgh Penguins,Colorado Avalanche,20171213_230642
20171215_003706,2,1,Detroit Red Wings,Florida Panthers,20171215_003706
20171215_123706,1,5,Winnipeg Jets,Vancouver Canucks,20171215_123706
20171215_180708,2,3,Anaheim Ducks,Carolina Hurricanes,20171215_180708
20171216_140705,2,3,Buffalo Sabres,Ottawa Senators,20171216_140705
20171216_170703,1,5,New Jersey Devils,Los Angeles Kings,20171216_170703
20171216_000707,2,4,Philadelphia Flyers,Toronto Maple Leafs,20171216_000707
20171215_143650,2,5,Washington Capitals,Colorado Avalanche,20171215_143650
20171214_230645,7,2,Columbus Blue Jackets,Edmonton Oilers,20171214_230645
20171215_173653,3,0,St. Louis Blues,Tampa Bay Lightning,20171215_173653
20171214_070649,1,1,Minnesota Wild,Calgary Flames,20171214_070649
20171216_183716,2,3,Chicago Blackhawks,Florida Panthers,20171216_183716
20171216_133719,2,2,Vegas Golden Knights,Carolina Hurricanes,20171216_133719
20171216_200659,2,3,Ottawa Senators,New York Rangers,20171216_200659
20171217_230709,5,2,New York Islanders,Dallas Stars,20171217_230709
20171217_173710,3,2,Detroit Red Wings,Boston Bruins,20171217_173710
20171217_150708,7,1,Vancouver Canucks,Nashville Predators,20171217_150708
20171218_223709,5,3,Boston Bruins,Washington Capitals,20171218_223709
20171218_210709,1,2,Philadelphia Flyers,Buffalo Sabres,20171218_210709
20200717_194327,4,6,Columbus Blue Jackets,New York Islanders,20200717_194327
20171217_170653,1,2,Montréal Canadiens,New Jersey Devils,20171217_170653
20171218_210714,3,1,St. Louis Blues,Anaheim Ducks,20171218_210714
20171217_193657,0,2,Minnesota Wild,Toronto Maple Leafs,20171217_193657
20171218_163714,5,1,Winnipeg Jets,Chicago Blackhawks,20171218_163714
20171218_150719,1,2,Colorado Avalanche,Florida Panthers,20171218_150719
20171218_220717,3,2,Calgary Flames,San Jose Sharks,20171218_220717
20171218_193719,4,0,Edmonton Oilers,Nashville Predators,20171218_193719
20171216_073658,4,1,Arizona Coyotes,Tampa Bay Lightning,20171216_073658
20171218_220722,1,2,Vegas Golden Knights,Pittsburgh Penguins,20171218_220722
20171219_140705,5,4,Buffalo Sabres,Carolina Hurricanes,20171219_140705
20171219_193706,2,5,New Jersey Devils,Dallas Stars,20171219_193706
20171219_230710,2,4,New York Rangers,Los Angeles Kings,20171219_230710
20171219_150707,1,3,Detroit Red Wings,Toronto Maple Leafs,20171219_150707
20171219_163709,3,4,Vancouver Canucks,San Jose Sharks,20171219_163709
20171220_190654,3,2,Minnesota Wild,Edmonton Oilers,20171220_190654
20171219_090651,3,2,Boston Bruins,New York Rangers,20171219_090651
20171220_160659,0,3,Ottawa Senators,Montréal Canadiens,20171220_160659
20171219_230653,3,4,New York Islanders,Los Angeles Kings,20171219_230653
20171220_163706,1,2,Philadelphia Flyers,Dallas Stars,20171220_163706
20171218_160641,0,2,St. Louis Blues,Winnipeg Jets,20171218_160641
20171218_210652,2,3,Washington Capitals,Anaheim Ducks,20171218_210652
20171220_173706,1,2,Carolina Hurricanes,Columbus Blue Jackets,20171220_173706
20171220_160707,4,2,Arizona Coyotes,Pittsburgh Penguins,20171220_160707
20171220_223710,6,5,Colorado Avalanche,Tampa Bay Lightning,20171220_223710
20171220_173713,2,0,Calgary Flames,Nashville Predators,20171220_173713
20171221_060705,0,4,Winnipeg Jets,St. Louis Blues,20171221_060705
20171221_233707,1,4,Chicago Blackhawks,Minnesota Wild,20171221_233707
20171221_230712,6,1,Vancouver Canucks,Calgary Flames,20171221_230712
20171221_213710,2,5,Vegas Golden Knights,Florida Panthers,20171221_213710
20171222_160707,2,7,Boston Bruins,Columbus Blue Jackets,20171222_160707
20171222_170706,3,5,New Jersey Devils,Anaheim Ducks,20171222_170706
20171222_163706,4,1,Philadelphia Flyers,Los Angeles Kings,20171222_163706
20171222_200705,2,4,Colorado Avalanche,Pittsburgh Penguins,20171222_200705
20171222_190709,3,5,Edmonton Oilers,San Jose Sharks,20171222_190709
20200717_194335,1,8,Toronto Maple Leafs,Carolina Hurricanes,20200717_194335
20171221_213646,3,0,Buffalo Sabres,Boston Bruins,20171221_213646
20171223_140704,6,3,New York Islanders,Detroit Red Wings,20171223_140704
20171222_200646,1,4,New York Rangers,Anaheim Ducks,20171222_200646
20171223_213708,6,4,Ottawa Senators,Minnesota Wild,20171223_213708
20171223_063719,6,4,Nashville Predators,Winnipeg Jets,20171223_063719
20171223_213715,4,3,Dallas Stars,Washington Capitals,20171223_213715
20171223_230717,3,2,Arizona Coyotes,Florida Panthers,20171223_230717
20171222_093703,7,5,Vancouver Canucks,Montréal Canadiens,20171222_093703
20171222_093705,3,4,Vegas Golden Knights,Tampa Bay Lightning,20171222_093705
20171224_213704,2,4,Columbus Blue Jackets,Toronto Maple Leafs,20171224_213704
20171224_170708,3,4,Philadelphia Flyers,Detroit Red Wings,20171224_170708
20171224_043706,1,2,Calgary Flames,St. Louis Blues,20171224_043706
20171225_153708,1,1,Boston Bruins,Winnipeg Jets,20171225_153708
20171225_040708,3,3,New Jersey Devils,New York Rangers,20171225_040708
20171225_223711,5,4,New York Islanders,Anaheim Ducks,20171225_223711
20171225_223713,2,2,Pittsburgh Penguins,Columbus Blue Jackets,20171225_223713
20171225_223716,3,3,Tampa Bay Lightning,Ottawa Senators,20171225_223716
20171225_223719,4,1,Nashville Predators,Carolina Hurricanes,20171225_223719
20171225_223722,0,4,Dallas Stars,Chicago Blackhawks,20171225_223722
20171225_190719,2,3,Edmonton Oilers,St. Louis Blues,20171225_190719
20171225_200721,1,2,Los Angeles Kings,Colorado Avalanche,20171225_200721
20171225_123723,4,5,San Jose Sharks,Vancouver Canucks,20171225_123723
20171225_153702,2,4,Buffalo Sabres,Philadelphia Flyers,20171225_153702
20200717_194343,2,4,Florida Panthers,Minnesota Wild,20200717_194343
20171226_190706,3,2,Calgary Flames,Montréal Canadiens,20171226_190706
20171226_203711,2,3,Arizona Coyotes,Washington Capitals,20171226_203711
20171227_143639,1,3,Boston Bruins,Detroit Red Wings,20171227_143639
20171227_203641,2,5,New York Islanders,Winnipeg Jets,20171227_203641
20171227_173643,0,3,Tampa Bay Lightning,Minnesota Wild,20171227_173643
20171227_200644,0,1,Florida Panthers,Ottawa Senators,20171227_200644
20171227_163646,1,4,New Jersey Devils,Chicago Blackhawks,20171227_163646
20171227_023646,3,2,New York Rangers,Toronto Maple Leafs,20171227_023646
20171225_130649,4,0,Pittsburgh Penguins,Anaheim Ducks,20171225_130649
20171227_200652,2,4,Carolina Hurricanes,Buffalo Sabres,20171227_200652
20171227_170654,1,1,Columbus Blue Jackets,Philadelphia Flyers,20171227_170654
20171226_120642,1,4,Edmonton Oilers,Montréal Canadiens,20171226_120642
20171227_143657,3,3,Dallas Stars,Nashville Predators,20171227_143657
20171226_043654,6,2,Arizona Coyotes,Colorado Avalanche,20171226_043654
20171227_070656,0,3,Vegas Golden Knights,Washington Capitals,20171227_070656
20171227_173654,3,1,Vancouver Canucks,St. Louis Blues,20171227_173654
20171227_150700,0,2,San Jose Sharks,Los Angeles Kings,20171227_150700
20171231_183536,1,5,Boston Bruins,Ottawa Senators,20171231_183536
20171231_162008,1,3,New Jersey Devils,Detroit Red Wings,20171231_162008
20171231_063547,2,3,New York Islanders,Buffalo Sabres,20171231_063547
20171228_051610,0,0,New York Rangers,Washington Capitals,20171228_051610
20171231_175009,4,4,Pittsburgh Penguins,Columbus Blue Jackets,20171231_175009
20171231_072015,1,3,Carolina Hurricanes,Montréal Canadiens,20171231_072015
20171231_012020,2,1,St. Louis Blues,Nashville Predators,20171231_012020
20171231_183546,2,4,Minnesota Wild,Dallas Stars,20171231_183546
20171231_180552,3,4,Winnipeg Jets,Edmonton Oilers,20171231_180552
20171231_202018,3,1,Colorado Avalanche,Arizona Coyotes,20171231_202018
20171230_155003,4,1,Anaheim Ducks,Vegas Golden Knights,20171230_155003
20180101_082006,3,3,Washington Capitals,Boston Bruins,20180101_082006
20180101_233540,1,3,Tampa Bay Lightning,Montréal Canadiens,20180101_233540
20180101_230538,2,3,Florida Panthers,Philadelphia Flyers,20180101_230538
20180101_205010,7,4,Arizona Coyotes,Toronto Maple Leafs,20180101_205010
20180101_233545,2,5,Vancouver Canucks,Chicago Blackhawks,20180101_233545
20180101_192009,3,2,Los Angeles Kings,Vegas Golden Knights,20180101_192009
20171231_173535,2,2,San Jose Sharks,Calgary Flames,20171231_173535
20180102_044959,4,3,New Jersey Devils,Buffalo Sabres,20180102_044959
20180102_232001,4,5,Ottawa Senators,Columbus Blue Jackets,20180102_232001
20171231_203509,2,2,Detroit Red Wings,New York Rangers,20171231_203509
20180102_203534,5,3,Tampa Bay Lightning,Philadelphia Flyers,20180102_203534
20180102_153537,1,2,Carolina Hurricanes,Pittsburgh Penguins,20180102_153537
20180102_032013,2,4,Minnesota Wild,Nashville Predators,20180102_032013
20180102_120543,2,4,Winnipeg Jets,New York Islanders,20180102_120543
20180102_162012,2,4,Dallas Stars,St. Louis Blues,20180102_162012
20180102_163541,3,4,Colorado Avalanche,Toronto Maple Leafs,20180102_163541
20180102_202013,4,3,Edmonton Oilers,Chicago Blackhawks,20180102_202013
20180102_190554,1,2,Anaheim Ducks,Calgary Flames,20180102_190554
20180103_213524,5,0,Ottawa Senators,Boston Bruins,20180103_213524
20180103_001952,0,2,Florida Panthers,Montréal Canadiens,20180103_001952
20180103_110526,2,5,Washington Capitals,New Jersey Devils,20180103_110526
20180103_210528,2,3,St. Louis Blues,Carolina Hurricanes,20180103_210528
20180103_184957,0,3,Nashville Predators,Minnesota Wild,20180103_184957
20180103_025035,4,3,Vancouver Canucks,Los Angeles Kings,20180103_025035
20180104_223527,3,6,Vegas Golden Knights,Toronto Maple Leafs,20180104_223527
20180104_200531,5,0,Columbus Blue Jackets,Tampa Bay Lightning,20180104_200531
20180104_105008,1,4,Detroit Red Wings,Pittsburgh Penguins,20180104_105008
20180104_172005,0,6,Dallas Stars,San Jose Sharks,20180104_172005
20180104_213535,1,6,Colorado Avalanche,New York Islanders,20180104_213535
20180104_204957,2,5,Anaheim Ducks,Arizona Coyotes,20180104_204957
20180104_235009,3,4,Calgary Flames,Chicago Blackhawks,20180104_235009
20180103_221943,5,0,Edmonton Oilers,Winnipeg Jets,20180103_221943
20180105_181959,3,2,Buffalo Sabres,New York Rangers,20180105_181959
20180106_001959,2,0,Toronto Maple Leafs,Tampa Bay Lightning,20180106_001959
20180106_202005,5,1,New York Islanders,Boston Bruins,20180106_202005
20180106_230535,5,1,Philadelphia Flyers,Pittsburgh Penguins,20180106_230535
20180106_203534,5,4,Carolina Hurricanes,Washington Capitals,20180106_203534
20180106_182004,4,1,Montréal Canadiens,San Jose Sharks,20180106_182004
20180106_173536,2,2,St. Louis Blues,New Jersey Devils,20180106_173536
20180106_223539,1,5,Minnesota Wild,Florida Panthers,20180106_223539
20180106_203541,2,1,Dallas Stars,Columbus Blue Jackets,20180106_203541
20180106_150540,2,3,Colorado Avalanche,Winnipeg Jets,20180106_150540
20180106_215015,5,0,Edmonton Oilers,Los Angeles Kings,20180106_215015
20180106_235019,5,0,Vancouver Canucks,Anaheim Ducks,20180106_235019
20180105_213530,0,3,Vegas Golden Knights,Nashville Predators,20180105_213530
20180106_140526,1,2,Detroit Red Wings,Ottawa Senators,20180106_140526
20180107_092014,5,2,New York Rangers,Chicago Blackhawks,20180107_092014
20180412_154835,4,2,Boston Bruins,Florida Panthers,20180412_154835
20180107_231955,2,2,Toronto Maple Leafs,San Jose Sharks,20180107_231955
20180108_230534,4,6,Philadelphia Flyers,New York Islanders,20180108_230534
20180108_235008,4,0,Pittsburgh Penguins,Carolina Hurricanes,20180108_235008
20180108_202009,1,1,Montréal Canadiens,Tampa Bay Lightning,20180108_202009
20180108_172010,1,2,St. Louis Blues,Vegas Golden Knights,20180108_172010
20180108_155013,2,6,Minnesota Wild,Buffalo Sabres,20180108_155013
20180108_053555,3,4,Dallas Stars,New Jersey Devils,20180108_053555
20180108_203545,0,2,Colorado Avalanche,Columbus Blue Jackets,20180108_203545
20180108_223545,3,4,Calgary Flames,Los Angeles Kings,20180108_223545
20180107_163532,1,1,Edmonton Oilers,Anaheim Ducks,20180107_163532
20180108_180550,2,3,Arizona Coyotes,Nashville Predators,20180108_180550
20180109_210542,4,0,New York Islanders,Pittsburgh Penguins,20180109_210542
20180109_073543,5,6,Ottawa Senators,San Jose Sharks,20180109_073543
20180109_230546,2,4,Detroit Red Wings,Florida Panthers,20180109_230546
20180109_190547,3,4,Winnipeg Jets,Buffalo Sabres,20180109_190547
20180109_215017,5,4,Chicago Blackhawks,Vegas Golden Knights,20180109_215017
20180110_151956,3,6,Philadelphia Flyers,St. Louis Blues,20180110_151956
20180110_231958,1,5,Dallas Stars,Edmonton Oilers,20180110_231958
20180110_203538,2,7,Colorado Avalanche,Minnesota Wild,20180110_203538
20180110_233530,1,7,Boston Bruins,Carolina Hurricanes,20180110_233530
20180110_165001,2,2,Toronto Maple Leafs,Vancouver Canucks,20180110_165001
20180110_210534,3,6,Ottawa Senators,Tampa Bay Lightning,20180110_210534
20200717_194351,1,1,Arizona Coyotes,New York Rangers,20200717_194351
20180110_225013,2,3,Calgary Flames,Anaheim Ducks,20180110_225013
20180110_180539,4,3,Los Angeles Kings,Nashville Predators,20180110_180539
20180111_191954,4,4,New York Islanders,New Jersey Devils,20180111_191954
20180111_153524,1,4,Philadelphia Flyers,Buffalo Sabres,20180111_153524
20180111_210528,3,4,Washington Capitals,St. Louis Blues,20180111_210528
20180111_231955,1,4,Chicago Blackhawks,Edmonton Oilers,20180111_231955
20180111_013527,1,4,Winnipeg Jets,San Jose Sharks,20180111_013527
20180110_201946,2,2,Columbus Blue Jackets,Florida Panthers,20180110_201946
20180111_105008,2,5,Montréal Canadiens,Vancouver Canucks,20180111_105008
20180111_195004,5,2,Detroit Red Wings,Tampa Bay Lightning,20180111_195004
20180111_230535,5,6,Pittsburgh Penguins,Boston Bruins,20180111_230535
20180110_114958,1,2,Vegas Golden Knights,New York Rangers,20180110_114958
20180112_181952,3,2,Toronto Maple Leafs,Columbus Blue Jackets,20180112_181952
20180113_121944,7,4,Buffalo Sabres,Winnipeg Jets,20180113_121944
20180113_180518,1,3,Washington Capitals,Vancouver Canucks,20180113_180518
20180113_224951,8,2,Ottawa Senators,Chicago Blackhawks,20180113_224951
20180113_233522,4,5,Tampa Bay Lightning,Carolina Hurricanes,20180113_233522
20180113_184955,7,4,St. Louis Blues,Florida Panthers,20180113_184955
20180113_133525,1,2,Nashville Predators,Edmonton Oilers,20180113_133525
20180113_233527,3,2,Minnesota Wild,Calgary Flames,20180113_233527
20180114_094950,4,3,Toronto Maple Leafs,Ottawa Senators,20180114_094950
20180113_154942,2,1,Chicago Blackhawks,Minnesota Wild,20180113_154942
20180115_081959,1,3,Buffalo Sabres,Columbus Blue Jackets,20180115_081959
20180115_105003,3,1,Washington Capitals,Carolina Hurricanes,20180115_105003
20180115_215005,5,1,Tampa Bay Lightning,Calgary Flames,20180115_215005
20180116_211958,5,2,Columbus Blue Jackets,Vancouver Canucks,20180116_211958
20180116_175001,4,2,Florida Panthers,Calgary Flames,20180116_175001
20180116_200534,4,3,Carolina Hurricanes,Washington Capitals,20180116_200534
20180116_193534,1,2,Chicago Blackhawks,Winnipeg Jets,20180116_193534
20180115_032003,4,2,Arizona Coyotes,Edmonton Oilers,20180115_032003
20180117_034951,7,2,New York Rangers,New York Islanders,20180117_034951
20180117_180525,1,4,Pittsburgh Penguins,Detroit Red Wings,20180117_180525
20180117_163524,3,3,Montréal Canadiens,Boston Bruins,20180117_163524
20180117_220528,5,3,New Jersey Devils,Philadelphia Flyers,20180117_220528
20200717_194359,1,4,Minnesota Wild,Winnipeg Jets,20200717_194359
20180117_113532,4,1,Dallas Stars,Colorado Avalanche,20180117_113532
20180117_195001,3,2,Vegas Golden Knights,Edmonton Oilers,20180117_195001
20180117_212002,4,2,Los Angeles Kings,Anaheim Ducks,20180117_212002
20180117_213535,5,6,San Jose Sharks,Arizona Coyotes,20180117_213535
20180118_120527,2,5,Pittsburgh Penguins,New York Rangers,20180118_120527
20180117_190516,4,1,Carolina Hurricanes,Calgary Flames,20180117_190516
20180117_234942,4,0,Chicago Blackhawks,Detroit Red Wings,20180117_234942
20180118_133530,3,2,Minnesota Wild,Vancouver Canucks,20180118_133530
20180119_181950,3,2,Boston Bruins,Dallas Stars,20180119_181950
20180119_234950,1,3,Colorado Avalanche,Anaheim Ducks,20180119_234950
20180119_153523,4,1,Los Angeles Kings,San Jose Sharks,20180119_153523
20180119_224955,5,4,Montréal Canadiens,New York Islanders,20180119_224955
20180120_150527,2,1,Toronto Maple Leafs,St. Louis Blues,20180120_150527
20180120_220533,4,1,New York Islanders,New Jersey Devils,20180120_220533
20180119_200513,1,5,New York Rangers,Philadelphia Flyers,20180119_200513
20180119_150514,4,2,Detroit Red Wings,Dallas Stars,20180119_150514
20180120_165004,0,1,Nashville Predators,Vegas Golden Knights,20180120_165004
20180120_103540,2,2,Arizona Coyotes,San Jose Sharks,20180120_103540
20180121_231048,1,4,Boston Bruins,Montréal Canadiens,20180121_231048
20180121_103907,3,5,Anaheim Ducks,Pittsburgh Penguins,20180121_103907
20180122_193905,3,4,New Jersey Devils,Washington Capitals,20180122_193905
20180122_184053,5,2,New York Islanders,Boston Bruins,20180122_184053
20180122_123914,3,4,New York Rangers,Buffalo Sabres,20180122_123914
20180122_220911,2,3,Philadelphia Flyers,Toronto Maple Leafs,20180122_220911
20180122_021056,1,1,Columbus Blue Jackets,Dallas Stars,20180122_021056
20180122_173913,4,1,Ottawa Senators,St. Louis Blues,20180122_173913
20180122_230914,4,1,Tampa Bay Lightning,Vegas Golden Knights,20180122_230914
20180122_070925,2,2,Nashville Predators,Arizona Coyotes,20180122_070925
20180122_153925,3,5,Colorado Avalanche,San Jose Sharks,20180122_153925
20180122_230919,3,1,Los Angeles Kings,Pittsburgh Penguins,20180122_230919
20180123_231052,3,4,Florida Panthers,Vegas Golden Knights,20180123_231052
20180122_003902,3,2,Washington Capitals,Montréal Canadiens,20180122_003902
20180123_144057,1,2,Anaheim Ducks,Los Angeles Kings,20180123_144057
20180124_083857,7,1,Buffalo Sabres,Dallas Stars,20180124_083857
20180123_224035,1,3,Philadelphia Flyers,New Jersey Devils,20180123_224035
20180123_214037,1,3,Colorado Avalanche,New York Rangers,20180123_214037
20180124_084052,1,1,Calgary Flames,Winnipeg Jets,20180124_084052
20180124_070915,4,1,Montréal Canadiens,Boston Bruins,20180124_070915
20180124_123906,4,3,Ottawa Senators,Toronto Maple Leafs,20180124_123906
20180124_214049,3,1,Detroit Red Wings,Carolina Hurricanes,20180124_214049
20180124_220910,5,2,St. Louis Blues,Arizona Coyotes,20180124_220910
20180124_223913,3,4,Nashville Predators,Florida Panthers,20180124_223913
20180124_223909,1,2,San Jose Sharks,Pittsburgh Penguins,20180124_223909
20180124_044120,7,3,Chicago Blackhawks,New York Islanders,20180124_044120
20180123_093903,2,5,Minnesota Wild,Tampa Bay Lightning,20180123_093903
20180124_150922,2,5,Edmonton Oilers,Vancouver Canucks,20180124_150922
20180125_191058,2,1,Washington Capitals,Philadelphia Flyers,20180125_191058
20180125_081055,5,1,Carolina Hurricanes,Vegas Golden Knights,20180125_081055
20180125_140915,0,1,Winnipeg Jets,Vancouver Canucks,20180125_140915
20180125_150914,6,2,Anaheim Ducks,San Jose Sharks,20180125_150914
20180125_213915,2,4,Los Angeles Kings,New York Rangers,20180125_213915
20180126_190909,4,2,Toronto Maple Leafs,Colorado Avalanche,20180126_190909
20180126_164052,3,0,New Jersey Devils,Detroit Red Wings,20180126_164052
20180126_163906,1,3,Minnesota Wild,Ottawa Senators,20180126_163906
20180126_223909,2,0,Chicago Blackhawks,Tampa Bay Lightning,20180126_223909
20180125_220904,2,1,Calgary Flames,Buffalo Sabres,20180125_220904
20180126_214057,2,3,Arizona Coyotes,New York Islanders,20180126_214057
20180127_214051,2,3,Boston Bruins,New Jersey Devils,20180127_214051
20180127_153909,1,3,Pittsburgh Penguins,Carolina Hurricanes,20180127_153909
20180127_201054,2,4,Montréal Canadiens,Colorado Avalanche,20180127_201054
20180127_141057,3,2,Detroit Red Wings,Philadelphia Flyers,20180127_141057
20180127_051101,0,3,St. Louis Blues,Ottawa Senators,20180127_051101
20180127_153915,4,3,Nashville Predators,Tampa Bay Lightning,20180127_153915
20180127_190915,1,6,Dallas Stars,Florida Panthers,20180127_190915
20180127_080920,5,0,Edmonton Oilers,Buffalo Sabres,20180127_080920
20180127_131109,2,6,Vancouver Canucks,Los Angeles Kings,20180127_131109
20180127_183923,3,6,Vegas Golden Knights,Columbus Blue Jackets,20180127_183923
20180127_134114,3,6,Anaheim Ducks,New York Rangers,20180127_134114
20180127_084109,5,4,San Jose Sharks,Winnipeg Jets,20180127_084109
20180128_213904,3,2,Chicago Blackhawks,Toronto Maple Leafs,20180128_213904
20180127_101057,2,1,Calgary Flames,Los Angeles Kings,20180127_101057
20180128_154024,3,0,New Jersey Devils,Nashville Predators,20180128_154024
20180129_223839,5,1,Philadelphia Flyers,Tampa Bay Lightning,20180129_223839
20180129_173842,3,6,Pittsburgh Penguins,Minnesota Wild,20180129_173842
