,away,home,home_team,away_team,time
20171020_000728,1,4,Nashville Predators,Colorado Avalanche,20171020_000728
20171021_123745,5,2,Winnipeg Jets,Columbus Blue Jackets,20171021_123745
20171018_140908,1,3,Dallas Stars,Arizona Coyotes,20171018_140908
20171018_210729,5,3,Edmonton Oilers,Carolina Hurricanes,20171018_210729
20171021_153744,4,5,Vegas Golden Knights,Buffalo Sabres,20171021_153744
20171019_000728,2,5,San Jose Sharks,Montréal Canadiens,20171019_000728
20171021_223730,3,6,Toronto Maple Leafs,Detroit Red Wings,20171021_223730
20171022_183738,2,5,St. Louis Blues,Chicago Blackhawks,20171022_183738
20171022_070744,1,5,Los Angeles Kings,Montréal Canadiens,20171022_070744
20171023_180741,3,6,Boston Bruins,Vancouver Canucks,20171023_180741
20171023_080748,3,3,New York Rangers,New York Islanders,20171023_080748
20171023_080749,1,0,Philadelphia Flyers,Nashville Predators,20171023_080749
20171020_180719,2,0,Columbus Blue Jackets,Tampa Bay Lightning,20171020_180719
20171020_065136,5,4,Ottawa Senators,New Jersey Devils,20171020_065136
20171023_223748,2,1,Chicago Blackhawks,Edmonton Oilers,20171023_223748
20171022_183732,4,3,Colorado Avalanche,St. Louis Blues,20171022_183732
20171022_170733,2,1,Calgary Flames,Carolina Hurricanes,20171022_170733
20171023_203752,5,4,Arizona Coyotes,Dallas Stars,20171023_203752
20171024_180733,4,2,Buffalo Sabres,Vancouver Canucks,20171024_180733
20171021_103717,3,0,New Jersey Devils,San Jose Sharks,20171021_103717
20171024_200737,4,3,Detroit Red Wings,Washington Capitals,20171024_200737
20171024_183738,4,3,Florida Panthers,Pittsburgh Penguins,20171024_183738
20171024_093738,3,4,Winnipeg Jets,Minnesota Wild,20171024_093738
20171024_223742,2,6,Anaheim Ducks,Montréal Canadiens,20171024_223742
20171025_191542,2,4,New York Rangers,Nashville Predators,20171025_191542
20171025_124710,1,2,Philadelphia Flyers,Edmonton Oilers,20171025_124710
20171025_194553,5,4,Boston Bruins,Buffalo Sabres,20171025_194553
20171024_210720,3,6,Ottawa Senators,Toronto Maple Leafs,20171024_210720
20171025_174547,1,7,Tampa Bay Lightning,Pittsburgh Penguins,20171025_174547
20171025_231550,3,5,New York Islanders,San Jose Sharks,20171025_231550
20171024_183727,4,1,Washington Capitals,Florida Panthers,20171024_183727
20171024_173724,6,4,Columbus Blue Jackets,Los Angeles Kings,20171024_173724
20171025_091554,3,4,Dallas Stars,Carolina Hurricanes,20171025_091554
20171025_224555,4,2,Arizona Coyotes,Chicago Blackhawks,20171025_224555
20171025_181610,4,2,Calgary Flames,Minnesota Wild,20171025_181610
20171025_214611,2,3,Vegas Golden Knights,St. Louis Blues,20171025_214611
20171025_142138,4,1,Detroit Red Wings,Vancouver Canucks,20171025_142138
