Player,H_ymax,HR_ymax,R_ymax,RBI_ymax,BA_ymax,RAR,WAR,oWAR,WAR_best_7,WAR_7,oWAR_7,oWAR_best_7,RAR_best_7,RAR_max,AS,MVP,Rfield,OPS,ten,HOF
dowseto01,0,0,0,0,0,-21,-2.0,-1.7999999999999998,-2.0,-2.0,-1.7999999999999998,-1.7999999999999998,-21,-9,0,0,-2,0.41270926076870024,0,0
doylede01,0,0,0,0,0,45,3.9999999999999996,2.5999999999999996,5.8,5.8,3.7,3.7000000000000006,62,32,0,1,6,0.6056868872811336,0,0
doyleja01,0,0,0,0,1,265,24.500000000000004,27.6,20.0,17.6,18.7,20.8,223,49,0,0,-23,0.7277073997489029,1,0
doyleji01,0,0,0,0,0,32,3.1999999999999997,2.5,3.1999999999999997,3.1999999999999997,2.5,2.5,32,34,0,0,8,0.7290706626856702,0,0
doylela01,1,0,0,0,0,425,45.1,48.599999999999994,30.099999999999998,28.4,31.799999999999997,32.3,283,53,0,1,-22,0.7471567176617145,1,0
drakede01,0,0,0,0,0,0,0.1,0.3,0.1,0.1,0.3,0.3,0,0,0,0,-3,0.6807256235827664,0,0
dressch01,0,0,0,0,0,80,7.900000000000001,6.3,7.900000000000001,7.8999999999999995,6.3,6.3,80,43,0,0,21,0.6950694738671794,0,0
drewj,0,0,0,0,1,465,44.900000000000006,38.10000000000001,32.1,29.9,24.7,27.6,332,85,1,0,69,0.865794532264354,1,0
driesda01,0,0,0,0,0,212,20.6,23.5,15.5,12.2,13.4,17.400000000000002,159,27,0,0,-33,0.765197183553437,1,0
drillle01,0,0,0,0,0,40,4.4,7.199999999999999,4.4,4.4,7.199999999999999,7.199999999999999,40,17,0,0,-24,0.6589847445600756,0,0
dropowa01,0,0,0,1,1,42,3.4999999999999996,3.7999999999999994,6.799999999999999,2.7,4.0,6.999999999999999,71,27,1,2,-7,0.7521556681741324,1,0
duceyro01,0,0,0,0,0,35,3.1,1.4999999999999998,5.1,2.8,1.7,3.4,52,12,0,0,19,0.7200751312714424,1,0
duffech01,0,0,0,0,0,19,1.9,1.2,1.9,1.9,1.2,1.2,19,19,0,0,8,0.6517717441325357,0,0
duffych01,0,0,0,0,0,24,2.1999999999999997,1.5,2.1999999999999997,2.1999999999999997,1.5,1.5,24,14,0,0,7,0.6544478918470018,0,0
duffyfr01,0,0,0,0,0,103,10.599999999999998,4.9,11.4,11.2,5.3,5.5,109,29,0,0,50,0.582990971567035,0,0
duganjo01,0,0,0,0,0,101,9.500000000000002,12.600000000000001,10.700000000000001,10.700000000000001,10.7,11.1,107,21,0,1,-28,0.671906018249268,1,0
dukesel01,0,0,0,0,0,22,1.8999999999999997,2.3000000000000003,1.8999999999999997,1.8999999999999997,2.3000000000000003,2.3000000000000003,22,25,0,0,-4,0.7613654675099706,0,0
duncach01,0,0,0,0,0,34,2.8000000000000003,3.8000000000000003,2.8000000000000003,2.8000000000000003,3.8000000000000003,3.8000000000000003,34,20,0,0,-9,0.804925918408768,0,0
duncada01,0,0,0,0,0,71,6.3999999999999995,9.8,8.299999999999999,8.299999999999999,10.200000000000001,10.200000000000001,83,25,1,0,-26,0.6311527041091014,1,0
duncama01,0,0,0,0,1,67,5.800000000000001,15.599999999999998,8.5,6.4,12.299999999999999,15.1,89,28,1,1,-99,0.6797107656094263,1,0
duncapa01,0,0,0,0,0,92,9.4,8.5,9.4,9.4,8.5,8.5,92,27,0,0,11,0.7565118866695615,0,0
duncash01,0,0,0,0,0,12,1.0999999999999999,1.2999999999999998,1.0999999999999999,1.0999999999999999,1.2999999999999998,1.2999999999999998,12,12,0,0,-1,0.7192090395480226,0,0
duncave01,0,0,0,0,0,1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,0,0,0,0.9166666666666667,0,0
dundogu01,0,0,0,0,0,20,1.8,0.09999999999999998,1.8,1.8,0.09999999999999998,0.09999999999999998,20,16,0,0,14,0.4851548336376351,0,0
dungasa01,0,0,0,0,0,25,2.5,3.0,2.5,2.5,3.0,3.0,25,25,0,0,-6,0.7711243946070945,0,0
dunlafr01,0,0,0,0,0,308,28.999999999999996,23.799999999999997,26.0,25.7,20.9,21.599999999999998,273,51,0,0,71,0.702938938558113,1,0
dunleja01,0,0,0,0,0,8,0.39999999999999997,0.49999999999999994,0.39999999999999997,0.39999999999999997,0.49999999999999994,0.49999999999999994,8,4,0,0,0,0.6103114709110867,0,0
dunnad01,0,2,0,0,0,202,17.999999999999996,35.3,17.9,15.6,26.599999999999998,27.299999999999997,188,49,2,3,-167,0.8454523539333942,1,0
dunnja01,0,0,0,0,0,-7,-0.7999999999999994,0.7999999999999999,0.4999999999999999,-0.2999999999999996,1.2,1.3000000000000003,7,16,0,0,-17,0.5621980667952882,0,0
dunstsh01,0,0,0,0,0,130,11.4,20.799999999999997,11.0,8.7,12.100000000000001,16.3,115,23,2,0,-94,0.7046196851045896,1,0
dunwoto01,0,0,0,0,0,-14,-1.4,-1.7000000000000002,-1.4,-1.4,-1.7000000000000002,-1.7000000000000002,-14,18,0,0,1,0.617203904954872,0,0
durazer01,0,0,0,0,0,96,9.2,9.799999999999999,9.2,9.2,9.799999999999999,9.799999999999999,96,34,0,1,-5,0.8628812386456131,0,0
durhale01,0,0,0,0,0,159,16.5,19.400000000000002,16.2,15.4,19.0,19.0,155,44,2,1,-34,0.8305093674832738,1,0
durhara01,0,0,1,0,0,355,33.8,43.7,25.800000000000004,24.7,27.599999999999998,28.800000000000004,270,48,2,0,-102,0.7797307777316773,1,0
durocle01,0,0,0,0,0,41,4.1000000000000005,2.3999999999999995,6.900000000000001,3.8,3.3,6.1000000000000005,68,17,0,2,20,0.611614233823011,1,0
durstce01,0,0,0,0,0,-28,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-28,2,0,0,-1,0.6328285005127595,0,0
dusaker01,0,0,0,0,0,22,1.7000000000000002,1.9999999999999998,2.2,2.1,2.1,2.0999999999999996,25,19,0,0,-1,0.6842873585578575,0,0
dwyerji01,0,0,0,0,1,72,6.199999999999999,7.5,7.4,6.1,6.6000000000000005,7.7,76,16,0,0,-12,0.7482472484320761,1,0
dybzije01,0,0,0,0,0,23,2.1,1.4999999999999998,2.1,2.1,1.4999999999999998,1.4999999999999998,23,7,0,0,5,0.5654533383367492,0,0
dyckji01,0,0,0,0,0,14,1.4000000000000001,2.6,1.4000000000000001,1.4000000000000001,2.6,2.6,14,27,0,0,-13,0.7157222226220377,0,0
dyeje01,0,0,0,0,1,214,20.4,25.1,23.2,15.399999999999999,17.4,24.7,241,50,2,2,-48,0.8205613590071132,1,0
dyerdu01,0,0,0,0,0,42,3.8999999999999995,2.2000000000000006,5.8,4.1,2.4000000000000004,3.8000000000000003,56,16,0,0,10,0.6111436570550117,1,0
dykesji01,0,0,0,0,0,360,34.2,35.699999999999996,21.3,19.0,19.3,21.4,218,42,4,2,-13,0.7429986623110443,1,0
dykstle01,2,0,1,0,1,415,42.39999999999999,36.900000000000006,33.0,30.7,27.700000000000003,29.8,321,84,3,2,45,0.7873044587832351,1,0
earlebi01,0,0,0,0,0,26,2.0,1.7000000000000002,2.0,2.0,1.7000000000000002,1.7000000000000002,26,19,0,0,5,0.8213516471875992,0,0
earlho01,0,0,0,0,0,-1,-0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-1,-1,0,0,3,0.6234529702970297,0,0
earlyja01,0,0,0,0,0,82,8.1,6.2,8.3,8.1,6.2,6.8999999999999995,83,27,1,1,18,0.6723848030331797,0,0
easleda01,0,0,0,0,0,218,20.499999999999996,20.9,20.3,17.5,16.4,18.200000000000003,211,58,1,0,-1,0.7114776058828371,1,0
easlemi01,0,0,0,0,0,137,13.299999999999999,15.3,13.5,13.5,15.299999999999999,15.3,137,39,1,1,-16,0.8060711100595099,1,0
