,Player,Player_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
41,bellbu01,Buddy Bell,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
42,belleal01,Albert Belle,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
43,bellja01,Jay Bell,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
44,beltbr01,Brandon Belt,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
45,beltrad01,Adrián Beltré,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,
46,beltrca01,Carlos Beltrán,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,
47,benchjo01,Johnny Bench,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
48,bennech01,Charlie Bennett,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
49,bergewa01,Wally Berger,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
50,berkmla01,Lance Berkman,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
51,berrayo01,Yogi Berra,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,
52,bettsmo01,Mookie Betts,0,0,0,0,0,0,1.0,1.0,,,,,,,,,,,,,,,,,
53,biggicr01,Craig Biggio,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
54,bishoma01,Max Bishop,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
55,blairpa01,Paul Blair,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
56,bluegos01,Ossie Bluege,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
57,bluelu01,Lu Blue,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
58,bogaexa01,Xander Bogaerts,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
59,boggswa01,Wade Boggs,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
60,bondsba01,Barry Bonds,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
61,bondsbo01,Bobby Bonds,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,
62,bonilbo01,Bobby Bonilla,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
63,boonebo01,Bob Boone,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
64,boonera01,Ray Boone,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
65,bordimi01,Mike Bordick,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
66,bottoji01,Jim Bottomley,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
67,boudrlo01,Lou Boudreau,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
68,boyercl02,Clete Boyer,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
69,boyerke01,Ken Boyer,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
70,bradlbi01,Bill Bradley,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
71,brantmi02,Michael Brantley,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
72,braunry02,Ryan Braun,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
73,bresnro01,Roger Bresnahan,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
74,brettge01,George Brett,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
75,brocklo01,Lou Brock,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,
76,broutda01,Dan Brouthers,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
77,brutobi01,Bill Bruton,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
