,Player,Player_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
36,bautijo02,José Bautista,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.405,0.405,0.405,0.445,0.475,0.48,0.48,0.48,,,,,,,,,,
37,baylodo01,Don Baylor,0.0,0.0,0.0,0.12,0.14,0.38,0.375,0.375,0.38,0.385,0.39,0.39,0.39,0.39,0.39,0.39,0.4,0.4,0.4,,,,,,
38,beaumgi01,Ginger Beaumont,0.025,0.18,0.405,0.405,0.405,0.405,0.405,0.405,0.41,0.405,0.405,,,,,,,,,,,,,,
39,becklja01,Jake Beckley,0.0,0.17,0.405,0.425,0.425,0.425,0.44,0.44,0.44,0.435,0.44,0.44,0.44,0.435,0.475,0.475,0.465,0.505,0.505,,,,,,
40,belanma01,Mark Belanger,0.0,0.0,0.0,0.175,0.265,0.38,0.38,0.38,0.425,0.44,0.435,0.435,0.435,0.435,0.435,0.435,0.435,,,,,,,,
41,bellbu01,Buddy Bell,0.0,0.14,0.37,0.385,0.41,0.41,0.41,0.43,0.43,0.44,0.45,0.445,0.45,0.45,0.45,0.45,0.45,0.46,,,,,,,
42,belleal01,Albert Belle,0.0,0.0,0.0,0.1,0.35,0.42,0.41,0.43,0.465,0.465,0.505,0.505,,,,,,,,,,,,,
43,bellja01,Jay Bell,0.0,0.0,0.0,0.0,0.005,0.215,0.385,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,,,,,,,
44,beltbr01,Brandon Belt,0.0,0.015,0.23,0.245,0.39,0.395,0.395,0.41,0.41,0.41,0.41,,,,,,,,,,,,,,
45,beltrad01,Adrián Beltré,0.0,0.11,0.19,0.235,0.38,0.395,0.435,0.43,0.43,0.43,0.445,0.44,0.465,0.475,0.495,0.49,0.485,0.485,0.53,0.57,0.59,,,,
46,beltrca01,Carlos Beltrán,0.0,0.175,0.185,0.415,0.415,0.415,0.415,0.42,0.49,0.455,0.445,0.445,0.445,0.445,0.445,0.445,0.49,0.5,0.51,0.56,,,,,
