Player,H_ymax,HR_ymax,R_ymax,RBI_ymax,BA_ymax,WAR_best_7,WAR_7,oWAR_7,oWAR_best_7,RAR_best_7,RAR_max,AS,MVP,RAR,WAR,oWAR,Rfield
villajo01,0,0,0,0,0,12.5,12.3,13.100000000000001,13.200000000000001,126,44,0,0,121,12.100000000000001,13.400000000000002,-17
vogelda01,0,0,0,0,0,-0.3999999999999997,-0.3999999999999997,0.9000000000000001,0.9000000000000001,-4,10,1,0,-4,-0.3999999999999997,0.9000000000000001,-13
vogtst01,0,0,0,0,0,9.000000000000002,8.3,9.299999999999999,9.800000000000002,86,34,2,0,78,7.999999999999999,9.0,-10
voitlu01,0,1,0,0,0,4.4,4.4,6.6,6.6,44,17,0,0,44,4.4,6.6,-24
vottojo01,0,0,1,0,5,46.8,40.9,37.3,42.400000000000006,464,83,6,3,612,60.400000000000006,55.800000000000004,48
walkech02,0,0,0,0,0,2.9,2.9000000000000004,2.3000000000000003,2.3000000000000003,33,30,0,0,33,2.9,2.3000000000000003,8
walkene01,0,0,0,0,0,18.3,18.3,20.6,20.600000000000005,186,36,0,0,203,19.599999999999994,23.300000000000004,-37
wallabr01,0,0,0,0,0,-0.19999999999999996,-0.19999999999999996,0.7000000000000001,0.7000000000000001,3,8,0,0,3,-0.19999999999999996,0.7000000000000001,-9
weeksje01,0,0,0,0,0,1.4000000000000001,1.4000000000000001,3.0999999999999996,3.0999999999999996,17,18,0,0,17,1.4000000000000001,3.0999999999999996,-14
weeksri01,0,0,1,0,0,13.9,13.8,20.6,21.599999999999998,149,38,1,0,133,11.399999999999999,24.7,-125
wendljo01,0,0,0,0,0,8.9,8.9,6.700000000000001,6.700000000000001,84,46,0,0,84,8.9,6.700000000000001,19
werthja01,0,0,1,0,1,27.5,23.6,25.4,25.599999999999998,281,47,1,3,308,29.2,29.4,2
whitety01,0,0,0,0,0,0.19999999999999996,0.19999999999999996,0.8,0.8,4,13,0,0,4,0.19999999999999996,0.8,-5
wietema01,0,0,0,0,0,17.3,16.8,13.600000000000001,14.0,168,51,4,1,180,18.199999999999996,14.900000000000002,34
willini01,0,0,0,0,0,-1.6,-1.6,1.0999999999999999,1.0999999999999999,-11,3,0,0,-11,-1.6,1.0999999999999999,-23
wilsobo02,0,0,0,0,0,0.9000000000000001,0.9000000000000001,-0.20000000000000004,-0.19999999999999996,10,9,0,0,3,0.20000000000000018,-0.9,11
winkeje01,0,0,0,0,0,3.8,3.8,6.1,6.1,43,13,0,0,43,3.8,6.1,-20
wolteto01,0,0,0,0,0,2.4000000000000004,2.4000000000000004,5.551115123125783e-17,5.551115123125783e-17,29,19,0,0,29,2.4000000000000004,5.551115123125783e-17,25
wongko01,0,0,0,0,0,17.3,17.3,12.0,12.0,178,55,0,1,181,17.5,12.2,52
wrighda03,0,0,1,0,1,39.6,35.6,36.0,39.7,404,87,7,4,507,49.400000000000006,52.0,-25
yastrmi01,0,0,0,0,0,6.1000000000000005,6.1000000000000005,5.1,5.1,64,28,0,0,64,6.1000000000000005,5.1,11
yelicch01,1,0,1,0,2,31.900000000000006,31.9,31.5,31.5,327,74,2,3,335,32.7,32.9,-1
youngch04,0,0,0,0,0,17.0,15.1,11.5,12.6,171,54,1,0,171,16.5,14.7,17
younger03,0,0,0,0,0,2.5000000000000004,2.2,2.3,2.5,29,17,0,0,22,1.4,1.6999999999999997,-4
zimmebr01,0,0,0,0,0,1.6000000000000003,1.6000000000000003,0.9000000000000002,0.9000000000000002,16,16,0,0,16,1.6000000000000003,0.9000000000000002,6
zimmery01,0,0,0,0,0,31.199999999999996,30.2,25.2,27.4,317,73,2,4,410,39.5,34.9,48
zobribe01,0,0,0,0,0,39.699999999999996,38.699999999999996,31.699999999999996,32.800000000000004,388,88,3,2,440,44.6,39.300000000000004,51
zuninmi01,0,0,0,0,0,8.3,7.0,6.3999999999999995,8.499999999999998,80,34,0,0,72,7.3999999999999995,7.3,-1
