Player.Name,Period.Name,Position.Name,Total.Player.Load,Player.Load.Per.Minute,Maximum.Heart.Rate,Minimum.Heart.Rate,Avg.Heart.Rate,Date
34,Group 1 4,M,5.10042,16.68621,168,165,167.3587,8/6/2019
23,Group 1 4,GK,4.01451,13.13362,172,169,170.54891,8/6/2019
43,Group 1 4,M,5.41366,17.71099,168,160,163.44262,8/6/2019
52,Group 1 4,D,5.25316,17.1859,175,169,170.97814,8/6/2019
12,Group 1 5,D,4.50022,14.61112,195,0,185.10929,8/6/2019
89,Group 1 5,GK,4.14817,13.46808,182,173,176.41622,8/6/2019
15,Group 1 5,D,5.45127,17.69893,178,169,173.18478,8/6/2019
35,Group 1 5,F,4.66033,15.13096,0,0,0,8/6/2019
62,Group 1 5,F,5.92457,19.23563,186,162,172.89189,8/6/2019
10,Group 1 5,D,4.81222,15.6241,187,168,178.90761,8/6/2019
97,Group 1 5,F,3.99372,12.96663,0,0,0,8/6/2019
48,Group 1 5,M,4.73949,15.38795,186,181,183.09239,8/6/2019
34,Group 1 5,M,5.39331,17.51075,172,169,169.94022,8/6/2019
23,Group 1 5,GK,4.12679,13.39867,178,171,173.31351,8/6/2019
43,Group 1 5,M,5.61461,18.22926,172,154,166.33514,8/6/2019
52,Group 1 5,D,5.39989,17.5321,175,171,173.81081,8/6/2019
12,Group 1 6,D,4.54022,14.84542,195,175,183.24457,8/6/2019
89,Group 1 6,GK,4.18357,13.67925,181,150,170.01093,8/6/2019
15,Group 1 6,D,5.80169,18.9701,178,169,173.57923,8/6/2019
35,Group 1 6,F,4.57377,14.95512,0,0,0,8/6/2019
62,Group 1 6,F,5.92943,19.38779,198,169,188.83696,8/6/2019
10,Group 1 6,D,5.05216,16.51931,179,0,177.39759,8/6/2019
97,Group 1 6,F,4.10825,13.43296,0,0,0,8/6/2019
48,Group 1 6,M,4.87232,15.93129,186,180,185.24044,8/6/2019
34,Group 1 6,M,5.32762,17.42002,175,169,171.2459,8/6/2019
23,Group 1 6,GK,4.1454,13.55445,180,173,177.31148,8/6/2019
43,Group 1 6,M,5.66325,18.51743,175,163,170.65217,8/6/2019
52,Group 1 6,D,5.31446,17.37698,180,176,178.01093,8/6/2019
12,Group 1 7,D,4.63554,15.27361,202,0,188.75581,8/6/2019
89,Group 1 7,GK,4.06122,13.38128,183,173,179.13736,8/6/2019
15,Group 1 7,D,5.65696,18.63906,183,173,177.91209,8/6/2019
35,Group 1 7,F,4.5913,15.12783,0,0,0,8/6/2019
62,Group 1 7,F,6.07085,20.00281,208,171,188.57143,8/6/2019
10,Group 1 7,D,4.88776,16.10464,180,158,166.66484,8/6/2019
97,Group 1 7,F,4.10126,13.51321,0,0,0,8/6/2019
48,Group 1 7,M,4.72269,15.56076,189,177,185.15385,8/6/2019
34,Group 1 7,M,5.4465,17.94563,178,171,175.15385,8/6/2019
23,Group 1 7,GK,4.17024,13.74049,180,176,179.23077,8/6/2019
43,Group 1 7,M,5.59882,18.44753,199,0,183.7052,8/6/2019
52,Group 1 7,D,5.41433,17.83964,183,176,179.66484,8/6/2019
12,Group 1 8,D,4.5171,15.5762,193,175,182.49714,8/6/2019
89,Group 1 8,GK,4.46629,15.401,183,179,179.94253,8/6/2019
15,Group 1 8,D,5.87823,20.26974,180,171,177.44253,8/6/2019
35,Group 1 8,F,4.71095,16.24465,0,0,0,8/6/2019
62,Group 1 8,F,5.93786,20.47538,183,164,174.18391,8/6/2019
10,Group 1 8,D,4.75502,16.39661,178,154,172.12644,8/6/2019
97,Group 1 8,F,3.96298,13.66546,0,0,0,8/6/2019
48,Group 1 8,M,4.72016,16.27641,189,179,186.60345,8/6/2019
34,Group 1 8,M,5.60672,19.33353,180,174,177.13793,8/6/2019
23,Group 1 8,GK,4.18557,14.433,183,179,180.29885,8/6/2019
43,Group 1 8,M,5.77328,19.90785,199,178,185.38506,8/6/2019
52,Group 1 8,D,5.55478,19.15441,183,179,180.33333,8/6/2019
12,Group 1 9,D,4.5773,13.94102,175,0,169.06316,8/6/2019
89,Group 1 9,GK,4.45027,13.55413,183,176,180.3198,8/6/2019
15,Group 1 9,D,5.97125,18.18655,180,176,177.98469,8/6/2019
35,Group 1 9,F,4.64886,14.15898,0,0,0,8/6/2019
62,Group 1 9,F,5.99349,18.25428,186,0,175.51282,8/6/2019
10,Group 1 9,D,5.02571,15.30672,183,0,173.41753,8/6/2019
97,Group 1 9,F,4.12339,12.55856,0,0,0,8/6/2019
48,Group 1 9,M,4.98312,15.17701,193,187,190.05076,8/6/2019
34,Group 1 9,M,5.40905,16.47427,180,173,177.01015,8/6/2019
23,Group 1 9,GK,4.34417,13.23099,183,179,180.62755,8/6/2019
43,Group 1 9,M,5.94083,18.09391,183,0,178.07368,8/6/2019
52,Group 1 9,D,5.40828,16.47191,183,179,181.38071,8/6/2019
12,Group 1 10,D,4.5366,14.94761,183,0,173.38068,8/6/2019
89,Group 1 10,GK,4.3254,14.25174,183,170,179.18681,8/6/2019
15,Group 1 10,D,5.77326,19.02228,183,169,179.32418,8/6/2019
35,Group 1 10,F,4.74047,15.61933,0,0,0,8/6/2019
62,Group 1 10,F,6.02218,19.84243,195,173,185.56593,8/6/2019
10,Group 1 10,D,5.17096,17.03775,175,0,163.21788,8/6/2019
97,Group 1 10,F,4.02522,13.26266,0,0,0,8/6/2019
48,Group 1 10,M,4.66949,15.38548,193,175,187.82967,8/6/2019
34,Group 1 10,M,5.51198,18.16139,180,176,178.20879,8/6/2019
23,Group 1 10,GK,4.20676,13.86082,184,175,181.68132,8/6/2019
43,Group 1 10,M,5.89059,19.40885,186,168,179.93407,8/6/2019
52,Group 1 10,D,5.46248,17.99827,186,179,181.32418,8/6/2019
12,Group 1 11,D,4.56792,15.76051,176,166,171.93678,8/6/2019
89,Group 1 11,GK,4.34156,14.9795,186,176,181.47701,8/6/2019
15,Group 1 11,D,5.97536,20.61653,183,174,180.49425,8/6/2019
