tricode,pp,pk,ppgf,competition_name,tid,type,win,goals_for,goals_against,game_count,team_name,win_pct,avg_gf,avg_ga
WSH,201,207,51.0,2012 NHL Regular Season,5,2,27,147.0,128.0,47,Washington Capitals,0.574468085106383,3.127659574468085,2.723404255319149
ANA,78,69,12.0,2013 NHL Playoff,21,3,7,35.0,37.0,13,Anaheim Ducks,0.5384615384615384,2.6923076923076925,2.8461538461538463
BOS,57,47,9.0,2013 NHL Playoff,20,3,7,30.0,26.0,12,Boston Bruins,0.5833333333333334,2.5,2.1666666666666665
CBJ,32,28,7.0,2013 NHL Playoff,52,3,2,18.0,21.0,6,Columbus Blue Jackets,0.3333333333333333,3.0,3.5
CHI,70,62,12.0,2013 NHL Playoff,6,3,9,53.0,54.0,18,Chicago Blackhawks,0.5,2.9444444444444446,3.0
COL,34,35,1.0,2013 NHL Playoff,22,3,3,20.0,22.0,7,Colorado Avalanche,0.42857142857142855,2.857142857142857,3.142857142857143
DAL,40,48,3.0,2013 NHL Playoff,46,3,2,18.0,20.0,6,Dallas Stars,0.3333333333333333,3.0,3.3333333333333335
DET,20,23,2.0,2013 NHL Playoff,18,3,1,6.0,14.0,5,Detroit Red Wings,0.2,1.2,2.8
LAK,127,114,22.0,2013 NHL Playoff,41,3,16,88.0,70.0,26,Los Angeles Kings,0.6153846153846154,3.3846153846153846,2.6923076923076925
MIN,46,51,13.0,2013 NHL Playoff,35,3,6,34.0,30.0,12,Minnesota Wild,0.5,2.8333333333333335,2.5
MTL,76,82,18.0,2013 NHL Playoff,2,3,10,51.0,46.0,17,Montréal Canadiens,0.5882352941176471,3.0,2.7058823529411766
NYR,107,131,13.0,2013 NHL Playoff,28,3,13,64.0,60.0,25,New York Rangers,0.52,2.56,2.4
PHI,37,28,6.0,2013 NHL Playoff,14,3,3,16.0,19.0,7,Philadelphia Flyers,0.42857142857142855,2.2857142857142856,2.7142857142857144
PIT,62,60,10.0,2013 NHL Playoff,8,3,7,35.0,33.0,13,Pittsburgh Penguins,0.5384615384615384,2.6923076923076925,2.5384615384615383
SJS,43,48,4.0,2013 NHL Playoff,16,3,3,22.0,26.0,7,San Jose Sharks,0.42857142857142855,3.142857142857143,3.7142857142857144
STL,25,32,2.0,2013 NHL Playoff,7,3,2,14.0,20.0,6,St. Louis Blues,0.3333333333333333,2.3333333333333335,3.3333333333333335
TBL,17,13,2.0,2013 NHL Playoff,25,3,0,10.0,16.0,4,Tampa Bay Lightning,0.0,2.5,4.0
ANA,353,363,67.0,2013 NHL Regular Season,21,2,53,272.0,217.0,81,Anaheim Ducks,0.654320987654321,3.3580246913580245,2.6790123456790123
BOS,341,309,69.0,2013 NHL Regular Season,20,2,54,265.0,181.0,82,Boston Bruins,0.6585365853658537,3.231707317073171,2.207317073170732
BUF,332,318,40.0,2013 NHL Regular Season,17,2,21,166.0,254.0,80,Buffalo Sabres,0.2625,2.075,3.175
CAR,286,323,51.0,2013 NHL Regular Season,66,2,35,203.0,227.0,80,Carolina Hurricanes,0.4375,2.5375,2.8375
CBJ,360,353,47.0,2013 NHL Regular Season,52,2,42,232.0,218.0,81,Columbus Blue Jackets,0.5185185185185185,2.8641975308641974,2.691358024691358
CGY,300,311,28.0,2013 NHL Regular Season,11,2,34,211.0,241.0,80,Calgary Flames,0.425,2.6375,3.0125
CHI,290,305,73.0,2013 NHL Regular Season,6,2,46,278.0,231.0,82,Chicago Blackhawks,0.5609756097560976,3.3902439024390243,2.817073170731707
COL,314,315,23.0,2013 NHL Regular Season,22,2,52,249.0,209.0,80,Colorado Avalanche,0.65,3.1125,2.6125
DAL,350,369,58.0,2013 NHL Regular Season,46,2,40,238.0,232.0,82,Dallas Stars,0.4878048780487805,2.902439024390244,2.8292682926829267
DET,326,311,65.0,2013 NHL Regular Season,18,2,38,225.0,231.0,80,Detroit Red Wings,0.475,2.8125,2.8875
EDM,370,365,54.0,2013 NHL Regular Season,10,2,27,201.0,269.0,80,Edmonton Oilers,0.3375,2.5125,3.3625
FLA,320,323,39.0,2013 NHL Regular Season,45,2,28,199.0,273.0,80,Florida Panthers,0.35,2.4875,3.4125
LAK,361,355,59.0,2013 NHL Regular Season,41,2,45,207.0,175.0,80,Los Angeles Kings,0.5625,2.5875,2.1875
MIN,320,322,61.0,2013 NHL Regular Season,35,2,43,216.0,215.0,82,Minnesota Wild,0.524390243902439,2.6341463414634148,2.6219512195121952
MTL,387,385,56.0,2013 NHL Regular Season,2,2,45,216.0,206.0,81,Montréal Canadiens,0.5555555555555556,2.6666666666666665,2.54320987654321
NJD,277,245,48.0,2013 NHL Regular Season,29,2,33,191.0,206.0,77,New Jersey Devils,0.42857142857142855,2.4805194805194803,2.675324675324675
NSH,305,310,61.0,2013 NHL Regular Season,19,2,38,221.0,248.0,81,Nashville Predators,0.4691358024691358,2.728395061728395,3.0617283950617282
NYI,341,356,53.0,2013 NHL Regular Season,51,2,30,223.0,264.0,77,New York Islanders,0.38961038961038963,2.896103896103896,3.4285714285714284
NYR,318,353,64.0,2013 NHL Regular Season,28,2,44,220.0,199.0,81,New York Rangers,0.5432098765432098,2.7160493827160495,2.45679012345679
