tricode,pp,pk,ppgf,competition_name
DAL,46,48,6,2015 NHL Playoff
DET,35,37,3,2015 NHL Playoff
FLA,24,16,2,2015 NHL Playoff
LAK,22,15,3,2015 NHL Playoff
MIN,23,19,4,2015 NHL Playoff
NSH,57,53,4,2015 NHL Playoff
NYI,42,47,12,2015 NHL Playoff
NYR,26,23,4,2015 NHL Playoff
PHI,38,32,1,2015 NHL Playoff
PIT,84,94,6,2015 NHL Playoff
SJS,75,90,29,2015 NHL Playoff
STL,77,74,15,2015 NHL Playoff
TBL,91,81,19,2015 NHL Playoff
WSH,54,66,22,2015 NHL Playoff
ANA,379,340,58,2015 NHL Regular Season
ARI,378,364,55,2015 NHL Regular Season
BOS,340,300,60,2015 NHL Regular Season
BUF,278,316,15,2015 NHL Regular Season
CAR,247,281,48,2015 NHL Regular Season
CBJ,356,319,48,2015 NHL Regular Season
CGY,262,301,47,2015 NHL Regular Season
CHI,267,297,61,2015 NHL Regular Season
COL,305,313,51,2015 NHL Regular Season
DAL,301,308,66,2015 NHL Regular Season
DET,324,318,59,2015 NHL Regular Season
EDM,314,298,47,2015 NHL Regular Season
FLA,338,343,58,2015 NHL Regular Season
LAK,345,298,49,2015 NHL Regular Season
MIN,245,298,56,2015 NHL Regular Season
MTL,293,316,57,2015 NHL Regular Season
NJD,325,316,43,2015 NHL Regular Season
NSH,305,310,59,2015 NHL Regular Season
NYI,287,286,49,2015 NHL Regular Season
NYR,296,275,57,2015 NHL Regular Season
OTT,335,324,51,2015 NHL Regular Season
PHI,351,368,59,2015 NHL Regular Season
PIT,313,320,42,2015 NHL Regular Season
SJS,289,338,68,2015 NHL Regular Season
STL,345,310,57,2015 NHL Regular Season
TBL,329,346,45,2015 NHL Regular Season
TOR,324,307,27,2015 NHL Regular Season
VAN,316,304,38,2015 NHL Regular Season
WPG,353,327,41,2015 NHL Regular Season
WSH,304,303,67,2015 NHL Regular Season
ANA,78,66,10,2016 NHL Playoff
BOS,27,21,3,2016 NHL Playoff
CBJ,18,13,2,2016 NHL Playoff
CGY,16,20,6,2016 NHL Playoff
CHI,11,10,2,2016 NHL Playoff
EDM,58,52,8,2016 NHL Playoff
MIN,19,22,3,2016 NHL Playoff
MTL,22,24,3,2016 NHL Playoff
NSH,88,92,19,2016 NHL Playoff
NYR,54,59,3,2016 NHL Playoff
OTT,81,81,11,2016 NHL Playoff
PIT,97,105,8,2016 NHL Playoff
SJS,17,27,7,2016 NHL Playoff
STL,46,41,3,2016 NHL Playoff
TOR,23,25,3,2016 NHL Playoff
WSH,52,49,10,2016 NHL Playoff
ANA,367,337,51,2016 NHL Regular Season
ARI,321,284,27,2016 NHL Regular Season
BOS,343,323,62,2016 NHL Regular Season
BUF,286,288,23,2016 NHL Regular Season
CAR,224,258,57,2016 NHL Regular Season
CBJ,287,284,59,2016 NHL Regular Season
CGY,363,337,58,2016 NHL Regular Season
CHI,251,269,46,2016 NHL Regular Season
COL,327,290,36,2016 NHL Regular Season
DAL,312,320,56,2016 NHL Regular Season
DET,302,322,46,2016 NHL Regular Season
EDM,289,310,55,2016 NHL Regular Season
FLA,327,340,46,2016 NHL Regular Season
LAK,292,293,52,2016 NHL Regular Season
MIN,275,282,50,2016 NHL Regular Season
MTL,307,286,50,2016 NHL Regular Season
NJD,328,318,53,2016 NHL Regular Season
NSH,317,333,50,2016 NHL Regular Season
NYI,267,269,32,2016 NHL Regular Season
NYR,264,286,55,2016 NHL Regular Season
OTT,334,343,51,2016 NHL Regular Season
PHI,317,348,65,2016 NHL Regular Season
PIT,294,298,32,2016 NHL Regular Season
SJS,253,280,44,2016 NHL Regular Season
STL,311,289,56,2016 NHL Regular Season
TBL,353,358,69,2016 NHL Regular Season
TOR,321,321,69,2016 NHL Regular Season
VAN,255,259,36,2016 NHL Regular Season
WPG,332,317,49,2016 NHL Regular Season
WSH,329,306,67,2016 NHL Regular Season
ANA,24,15,2,2017 NHL Playoff
BOS,45,45,12,2017 NHL Playoff
CBJ,28,26,4,2017 NHL Playoff
COL,31,29,2,2017 NHL Playoff
LAK,13,14,1,2017 NHL Playoff
MIN,18,17,2,2017 NHL Playoff
NJD,24,24,3,2017 NHL Playoff
NSH,52,53,8,2017 NHL Playoff
PHI,34,29,2,2017 NHL Playoff
PIT,49,58,10,2017 NHL Playoff
