shoot_player,average_hit
nate robinson,0.3415841584158416
nene hilario,0.524008350730689
nerles noel,0.4436936936936937
nick collison,0.4056603773584906
nick young,0.3678646934460888
nicolas batum,0.3888888888888889
nik stauskas,0.3385416666666667
nikola mirotic,0.40166204986149584
nikola vucevic,0.532150776053215
norris cole,0.3972602739726027
oj mayo,0.4133099824868651
omer asik,0.5066666666666667
omri casspi,0.4791666666666667
otto porter,0.45774647887323944
pablo prigioni,0.40804597701149425
patrick beverley,0.3815789473684211
patrick patterson,0.4641975308641975
pau gasol,0.49511002444987773
paul millsap,0.47480106100795755
paul pierce,0.45540796963946867
pero antic,0.35585585585585583
pj tucker,0.4534313725490196
quincy acy,0.4723404255319149
ramon sessions,0.3287671232876712
rasual butler,0.4348894348894349
ray mccallum,0.43333333333333335
reggie jackson,0.4203338391502276
richard jefferson,0.4430379746835443
robbie hummel,0.4789915966386555
robert covington,0.396078431372549
robert sacre,0.4132231404958678
rodney stuckey,0.4506517690875233
ronnie price,0.3452914798206278
roy hibbert,0.44886363636363635
rudy gay,0.4459613196814562
rudy gobert,0.6254681647940075
russell westbrook,0.43550051599587203
ryan anderson,0.40860215053763443
serge ibaka,0.4707482993197279
shabazz muhammad,0.4884910485933504
shabazz napier,0.38164251207729466
shane larkin,0.4244604316546763
shaun livingston,0.5247148288973384
shawn marion,0.4497816593886463
shawne williams,0.42857142857142855
solomon hill,0.3945720250521921
spencer hawes,0.4126506024096386
stephen curry,0.4855371900826446
steve adams,0.5474452554744526
steve blake,0.3765182186234818
taj gibson,0.49282296650717705
terrence ross,0.4078014184397163
thabo sefolosha,0.4236453201970443
thaddeus young,0.4668587896253602
tim duncan,0.4960127591706539
time hardaway jr,0.38823529411764707
timofey mozgov,0.544392523364486
tobias harris,0.46293706293706294
tony allen,0.48044692737430167
tony parker,0.4589285714285714
tony snell,0.4585152838427948
travis wear,0.41975308641975306
trevor ariza,0.37920937042459735
trevor booker,0.4954128440366973
trey burke,0.37547892720306514
tristan thompson,0.5454545454545454
ty lawson,0.44201909959072305
tyler hansbrough,0.46534653465346537
tyler zeller,0.5465393794749404
tyreke evans,0.43326039387308535
tyson chandler,0.6764705882352942
udonis haslem,0.43283582089552236
victor oladipo,0.4499314128943759
vince carter,0.3321554770318021
wayne ellington,0.4315068493150685
wesley johnson,0.4173728813559322
wesley matthews,0.44919786096256686
wilson chandler,0.4147339699863574
zach lavine,0.42318059299191374
zach randolph,0.488822652757079
zaza pachulia,0.43142857142857144
